title,content,keyword,url
"투모로우바이투게더 미니 5집, 美 레코드산업협회 골드 인증","그룹 투모로우바이투게더[빅히트뮤직 제공. 재판매 및 DB 금지]    (서울=연합뉴스) 임지우 기자 = 그룹 투모로우바이투게더(TXT)의 앨범이 미국 레코드산업협회(RIAA)로부터 '골드' 인증을 받았다. 5일 소속사 빅히트뮤직에 따르면 투모로우바이투게더의 미니 5집 '이름의 장:템테이션'은 지난 4일(현지 시간) RIAA로부터 50만 유닛 이상 판매된 앨범에 주어지는 '골드' 인증을 획득했다. 앨범 부문에서 RIAA의 인증을 받은 K팝 아티스트는 그룹 방탄소년단(BTS)에 이어 이번이 두 번째다. 미국 레코드산업협회는 디지털 싱글과 앨범 판매량에 따라 골드(50만 이상), 플래티넘(100만 이상), 멀티 플래티넘(200만 이상), 다이아몬드(1,000만 이상)로 구분해 인증한다. 앨범 부문의 경우 음반(실물·디지털) 판매량, 디지털 다운로드, 오디오 및 비디오 스트리밍 등을 집계해 수치를 산정한다. 투모로우바이투게더의 '이름의 장:템테이션'은 올해 상반기 미국 내 CD 판매량 1위를 기록하는 등 북미 시장에서 인기를 끌었다. 투모로우바이투게더는 현지 시간으로 5일 오후 미국 대규모 음악 페스티벌인 '롤라팔루자 시카고'에 헤드라이너(간판 출연자)로 무대에 오른다. wisefool@yna. co. kr.",골드,https://n.news.naver.com/mnews/article/001/0014113494?sid=106
"김포골드라인 무임 탑승 대상자, 보훈보상대상자까지 확대","김포시, 관련법 따라 '철도운임 무임 지원 확대'[김포=뉴시스] 정일형 기자 = 앞으로 경기 김포지역 보훈보상대상자도 김포골드라인을 무임으로 이용할 수 있게 됐다. 김포시(시장 김병수)는 지난달 18일 개정 시행된 '보훈보상대상자 지원에 관한 법률 및 시행령'에 따라 보훈보상 대상자에 대해 철도운임 무임지원을 확대 추진한다고 2일 밝혔다. 현재 무임승차 지원 대상은 65세 이상 노인, 국가유공상이자, 독립유공자, 5·18 민주유공상이자, 장애인 등이다. 하지만 시는 개정 시행된 법률 등에 따라 재해부상 및 지원공상 군경·공무원 등 철도운임 무임 지원을 보훈보상대상자까지 확대했다. 시는 보훈보상대상자 교통시스템 구축(8주 소요) 전까지 각 역사별 역무원을 통해 보훈보상대상자증을 확인한 후 우대권을 발급하기로 했다. 시 관계자는 ""국가를 위해 공헌하신 분들에 대한 무임승차 지원 관련법 개정을 환영한다""며 ""보훈보상대상자 분들께서 김포골드라인을 편리하게 이용하실 수 있도록 최선을 다하겠다""고 밝혔다．.",골드,https://n.news.naver.com/mnews/article/003/0012009573?sid=102
107주 연속 베스트셀러 1위는?...골드앤에스 '시원스쿨랩',"'28시간에 끝내는 토익스피킹 스타트', 예스24서 기록적 행보 골드앤에스 CI  [파이낸셜뉴스] 골드앤에스의 프리미엄 시험영어 인강 브랜드 ‘시원스쿨랩’은 토익스피킹 교재 ‘28시간에 끝내는 토익스피킹 스타트’가 온라인서점 예스24에서 107주 연속 베스트셀러 1위를 기록했다고 4일 밝혔다. 해당 교재는 지난 2021년 7월 3주부터 현재까지 ‘토익스피킹(Speaking) &amp; 라이팅(Writing) 테스트(Test)/TOEIC S&amp;W’부문에서 베스트셀러 자리를 지키고 있다. 이 교재는 기초 영문법부터 정리가 필요한 '영포자(영어 포기자)'들을 대상으로 간결한 이론과 꼼꼼한 해설을 제공하는 토익스피킹 기본서다. 시원스쿨랩 대표강사이자 약 11만2000명의 유튜브 토익스피킹 채널 구독자를 보유한 제이크 강사가 직접 집필했다. 제이크 강사는 현장 강의와 동일한 내용의 핵심 전략과 학습 팁을 교재에 수록했다. 또 토익스피킹 시험의 최신 출제경향을 반영해 수강생들에게 시험 전략을 제시한다. 골드앤에스 관계자는 “해당 교재는 토익스피킹 시험을 준비하는 수험생들에게 기본서로서 자리잡아 오랜 기간 꾸준히 판매되고 있다”며 “특히 해당 교재로 수업이 진행되는 제이크 강사의 ‘토익스피킹 900% 환급반’ 상반기 매출액은 전년동기 대비 130% 상승하며 성장세를 이어가고 있다”고 말했다. .",골드,https://n.news.naver.com/mnews/article/014/0005052421?sid=101
"""모두가 포기한 광산이 노다지 됐다""…韓상사, 숨은 자원 찾아 '골드러시'","■다시 '商社의 시대'LX, 자원매출 1. 3조···85% 급증포스코, 印尼 가스전 30년 운영자원개발 넘어 생산·판매로 확장LX인터의 인도네시아 GAM 석탄 광산. [서울경제] LX인터내셔널(001120)의 전신인 LG상사는 2012년 인도네시아 동부 칼리만탄주의 감(GAM) 광산 운영권을 사들였다. 2017년부터 현지에서 석탄 생산을 시작했는데 2019년 시황 악화에 순식간에 대규모 적자가 났다. 2018년 79억 원가량 이익을 냈는데 다음해 948억 원 손실을 보면서 회사도 위기에 빠졌다. 몇 년이 흘러 분위기는 반전했다. 지난해 LX인터는 창사 이래 최대 실적을 냈다. 매출과 영업이익 모두 18조 7595억 원, 9655억 원을 올리며 축포를 터뜨렸다. 사상 최대 실적은 석탄 광산 등 자원 개발 부문이 주도했다. 자원 부문 매출은 1조 3000억 원으로 전년 대비 85%나 늘어나며 실적 개선의 1등 공신이 됐다. 러시아의 우크라이나 침공으로 석탄 가격이 2021년 말 톤당 184달러에서 지난해 4분기 380달러까지 급등하면서다. 자원사업 부문의 영업이익률은 26%에 달했다. 2019년 1000억 원에 가까운 손실을 기록한 GAM 광산이 2020년부터 지난해까지 4500억 원의 이익을 낸 것이다. 그간 광산 누적 손실을 다 털어내고도 남았다. LX인터 관계자는 “모두가 안 된다고 했던 인도네시아 석탄 광산이 순식간에 ‘노다지’가 됐다”고 말했다. 4일 업계에 따르면 국내 상사들은 광산·가스전·농장 등 할 것 없이 대규모 자원 확보에 속도를 내고 있다. 트레이딩 중심의 사업 구조에서 벗어나 개발부터 생산·판매까지 하는 일본형 상사 모델로 체질을 바꾸고 있다. 포스코인터내셔널(047050)은 에너지와 식량 자원 확보에 분주하다. 포스코인터는 인도네시아 해상 천연가스전을 30년간 운영할 수 있는 권리를 획득하고 탐사에 속도를 내고 있다. 가스 매장 추정량만 13억 배럴로 광구 면적은 서울시의 14배다. 최근에는 광구에 대한 생산물 분배 계약도 체결했다. 특히 인도네시아 정부와 포스코인터의 천연가스 분배 비율은 55대45로 포스코인터가 다소 유리한 조건을 확보했다. 가스전뿐 아니라 식량 사업에도 최근 관심을 기울이고 있다. 포스코인터는 북미 곡물 사업 진출을 위한 조직을 확대하고 현지 관련 기업 인수합병(M&amp;A)과 투자를 물색하고 있다. 2030년까지 경작지 86만 ha를 확보한다는 전략도 세웠다. 서울시 면적의 15배 규모다. 삼성물산 상사 부문은 북미 태양광 개발 사업에서 올해 본격적으로 이익을 내고 있다. 올 1분기 2000만 달러 규모의 북미 태양광 매각 수익을 올렸다. 지난해 매각 수익은 4800만 달러로 올해는 이보다 수익이 더 크게 뛸 것으로 전망된다. 최근에는 폐배터리 재활용 기업 성일하이텍과 독일에서 2차전지 리사이클링 공장을 합작 운영하면서 배터리 리사이클링 사업에도 속도를 내고 있다. 국내 상사들이 해외 광산과 가스전, 농장과 에너지 단지를 찾아 개발하는 것은 글로벌 공급망 위기 속에서의 역할에 최적화돼 있어서다. 네트워크가 넓고 수많은 자원 개발을 한 경험도 한몫한다. 업계의 한 관계자는 “포스코인터가 인도네시아 가스전을 자신 있게 탐사하는 것은 2000년대 초 미얀마 가스전의 성공 경험 때문”이라며 “생산부터 판매까지 전 밸류체인을 담당하는 일본 상사의 사업 모델로 변모하고 있다”고 말했다. .",골드,https://n.news.naver.com/mnews/article/011/0004222625?sid=101
"뉴질랜드 회사, ‘골드키위 무단 생산·판매’  중국 상대로 소송","뉴질랜드를 대표하는 키위 마케팅 회사 제스프리가 자신들이 개발한 골드키위를 중국이 무단으로 생산 판매하고 있다며 법적 조치에 착수했다고 뉴질랜드 매체들이 3일 밝혔습니다. 제스프리는 썬골드, 또는 G3로 불리는 골드키위에 대한 지식재산권을 갖고 있어 재배하려면 로열티를 내야하는데 중국 농가들이 승인받지 않고 골드키위를 생산, 판매하는 것을 막기 위해 법적 조치에 들어갔다고 밝혔습니다. 댄 매티슨 제스프리 대표는 이날 뉴질랜드 키위 재배업자들에게 보낸 소식지에서 승인받지 않고 G3를 생산 판매한 2명에 대해 중국 지식재산권 법원에 민사소송을 제기했다고 밝혔습니다. 매체들은 제스프리의 최신 평가 보고서를 인용해 현재 중국에는 골드키위 재배 면적이 7천850㏊(헥타르·1㏊=1만㎡)가 넘어 뉴질랜드보다 골드키위 재배 면적이 더 큰 것으로 알려졌습니다. [사진 출처 : 연합뉴스]■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs. co. kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!.",골드,https://n.news.naver.com/mnews/article/056/0011538545?sid=104
"조페公, 오롯·디윰관서 골드·기념메달 체험전","오롯·디윰관 내부[한국조폐공사 제공]    한국조폐공사는 여름방학을 맞아 서울 마포구 광흥창역 인근 오프라인 매장인 '오롯·디윰관'에서 오는 18일까지 3주 동안 체험 행사를 한다고 2일 밝혔다. '나만의 공책 만들기', '상평통보 LED 팔찌 만들기', '5억 돈뭉치에 해당하는 무게와 20㎏ 금괴 모형 들어보기' 등 프로그램을 진행한다. 오롯·디윰관은 공사의 오프라인 매장으로 기념주화와 특이형 기념 메달 등 공사의 특수압인 기술을 적용한 볼거리를 전시하고 있으며, 카드형 골드와 골드바 등도 판매한다. 참여를 원하는 시민은 오는 18일(주말·공휴일)까지 운영시간(오전 10시∼오후 4시) 중 예약 없이 자유롭게 방문하면 된다. 관람료는 무료. .",골드,https://n.news.naver.com/mnews/article/029/0002817230?sid=101
"골드앤에스, 시원스쿨랩 주력상품 '토익학습지' 상반기 판매량 243%↑","골드앤에스는 프리미엄 시험영어 인강 브랜드 시원스쿨랩의 주력상품 '토익학습지'의 올해 상반기 판매량이 지난해 하반기 대비 약 243% 증가했다고 31일 밝혔다. 시원스쿨랩의 토익학습지는 하루 2장 분량의 학습을 통해 이론부터 실전까지 대비할 수 있는 교재가 포함된 인강 서비스다. 해당 교재는 기본편, 실전편으로 구분돼 학습자의 레벨에 맞게 선택할 수 있다. 또 토익학습지는 '예습-본강의-복습 퀴즈'로 이어지는 3스텝 학습 시스템을 갖추고 있다. 수강생이 따로 시간을 내지 않아도 예습, 복습이 한번에 가능해 시간 여유가 없는 직장인 및 대학생들에게 인기가 많다. 강사진은 스타강사인 최서아 강사와 켈리 강사로 구성돼 있다. 이들은 카카오톡 메신저를 통해 모든 수강생들의 질문에 직접 답변하며 1대1로 밀착 관리한다. 골드앤에스 관계자는 ""토익학습지에 대한 인기가 높은 판매량으로 입증됐다""며 ""토익학습지는 하루 30분만으로도 학습 효율을 극대화할 수 있어 취업, 승진 등의 이유로 단기간에 고득점이 필요한 대학생과 직장인들 사이에서 반응이 뜨겁다""고 말했다. 한편 골드앤에스는 시원스쿨랩 토익학습지 구매자들에게 △토익보카 △더스트백 △북마크&amp;포스트잇 △스티커북 △타임플래너 △달력&amp;스티커 △인강 전용 굿노트 등 7종의 학습 굿즈를 함께 제공한다. .",골드,https://n.news.naver.com/mnews/article/008/0004919166?sid=101
농심 신라면 블랙·그린·골드·더레드…'컬러 마케팅' 어디까지,"2011년 '신라면 블랙' 이후 컬러로 특색 담은 제품 계속농심 ""프리미엄·매운맛 표현하는 과정에서 생긴 우연""신라면 더레드. (사진=농심 제공)[서울=뉴시스]주동일 기자 = ""이러다 '신라면(辛라면) 블루'까지 나오는 거 아니야?""농심이 '신라면 더 레드'를 출시하며 컬러 마케팅을 이어가고 있다. 2011년 '신라면 블랙' 이후 국내외에서 '신라면 그린' '신라면 골드' 등 신라면 신제품 라인업을 별도의 색으로 표현하면서다. 농심 측은 이런 컬러마케팅이 우연이라고 설명했다. 신라면 블랙은 일부 위스키·패션 브랜드들처럼 프리미엄 제품임을 나타내기 위해 지은 이름이고, 이번 더 레드는 매운맛을 표현하고자 붙였다는 것이다. 29일 라면 업계에 따르면 농심은 신라면의 매운맛을 강화한 '신라면 더 레드(The Red)'를 한정판으로 다음달 14일 출시한다. 이번 신제품은 스코빌지수가 7500SHU로 기존 신라면 3400SHU의 2배가 넘는다. 농심에서 판매하는 라면 중 가장 매운 제품인 앵그리 너구리(6080SHU)보다 높다. 농심이 신라면 신제품 이름을 색으로 지은 건 이번이 처음이 아니다. 농심은 2011년 출시 25주년을 기념해 '신라면 블랙'을 출시했다. 신라면 블랙은 출시 후 한달 매출액(출고가 기준)이 90억원을 웃돌았다. 당시 식품업계에선 출시 후 첫 달 매출이 20억원을 넘는 제품을 빅히트 제품으로 봤다. 신라면 블랙은 이보다 4배 이상 높은 실적을 기록한 것이다. 신라면 블랙은 보양식인 '우골(소뼈)'로 맛을 내고, 얼큰한 맛과 설렁탕 국물의 담백함을 살린 점을 강조했다. 당시 다른 라면보다 높은 가격으로 논란이 일기도 했지만, 오히려 프리미엄 제품인 점이 알려지며 실적 호재로 이어지기도 했다. (사진=정용진 부회장 인스타그램 캡처) *재판매 및 DB 금지미주 수출용으론 '신라면 그린'과 '신라면 골드'를 생산한다. 그린은 버섯과 두부 등으로 만든 채식 라면으로 알려져있다. 골드는 닭육수를 활용한 제품으로 지난 7일 정용진 신세계 부회장이 인스타그램에 ""닭육수 신라면 맛있음""이란 글과 함께 사진을 올리기도 했다. 한편 농심 측은 이런 컬러 마케팅이 우연일 뿐 의도한 것은 아니라는 입장이다. 농심 관계자는 ""신라면 블랙은 다른 브랜드처럼 프리미엄임을 나타내기 위해 지은 이름""이라며 ""이번 더 레드 역시 매운 맛을 보여주기 위해 붙이는 과정에서 우연히 색을 또 사용하게 된 것""이라고 말했다. 실제로 타 업종에서 색상으로 프리미엄 라벨을 표현하기도 한다. 디아지오코리아가 국내에 수입·유통하는 위스키 조니워커는 기본 제품인 '조니워커 레드'로 시작해 가격대가 올라갈수록 '블랙' '그린' '블루' 등의 이름을 붙인다. 패션브랜드 폴로 랄프로렌과 아르마니 등도 최상위 라인으로 '블랙라벨'을 만들기도 했다. 한편 이번 신라면 더 레드는 최근 소비자들의 매운맛에 대한 기준이 높아진 점을 고려해 개발했다. 신라면 본연의 정체성인 '맛있는 매운맛'을 지키면서, 보다 매운맛을 원하는 소비자의 입맛을 충족시키는 데 중점을 뒀다. 청양고추의 양을 늘려 매운맛의 강도를 높이는 동시에 소고기와 표고버섯 등 진한 육수의 감칠맛을 내는 재료를 보강함으로써 깊고 진한 국물 맛도 한층 살렸다. 후첨양념분말엔 청양고추·후추·마늘·양파 등 향신 재료를 넣어 색다른 매운맛을 구현했다. .",골드,https://n.news.naver.com/mnews/article/003/0012002370?sid=101
"""푸바오 고마워!""…에버랜드, 유튜브 골드버튼 받는다","사진=연합뉴스에버랜드 유튜브 채널이 푸바오 등의 인기에 힘입어 골드 버튼을 받게 됐다. 25일 삼성물산 리조트 부문에 따르면 에버랜드 공식 유튜브 채널이 업계 최초로 구독자 수 100만명을 돌파했다. 유명 유튜버나 K팝 가수, 콘텐츠 전문 채널을 제외하고 국내 일반 기업에서 운영하는 유튜브 채널 중 구독자 수 100만명을 넘는 경우는 매우 드물다. 에버랜드는 2019년부터 유튜브를 통한 고객 소통을 본격화하기 시작해 같은 해 5월 10만 구독자 채널에 주어지는 실버 버튼을 획득했다. 이후 4년 2개월 만인 지난 21일 100만 구독자를 달성해 골드 버튼을 받게 됐다. 구독자 수는 올해 상반기에만 23만명 늘어난 것으로 나타났는데, 판다 월드의 인기가 골드 버튼을 받는 데 큰 역할을 한 것으로 분석됐다. 지난 5월 한 예능 프로그램에 '푸바오 할아버지'로 유명한 에버랜드 강철원 사육사가 출연했고, 푸바오가 네살이 되는 내년 중국으로 돌아가야 한다는 소식을 전하며 주목받았다. 지난 7일에는 푸바오의 쌍둥이 여동생들이 태어나 판다 가족에 대한 관심이 지속되고 있다. 가장 인기 많은 영상 또한 강철원 사육사와 푸바오가 등장하는 '할아버지랑 같이 놀고 싶었던 찰거머리 아기 판다'라는 제목의 콘텐츠다. 이날 오후 4시 누적 조회 수는 1531만회에 달한다. 에버랜드 관계자는 ""판다 가족에 대한 인기 상승에 힘입어 공식 유튜브 채널 구독자 수가 100만명을 돌파하는 영예를 안았다""며 ""앞으로 판다 가족뿐 아니라 고객들의 니즈를 반영한 다양한 콘텐츠를 제작해 유튜브를 통한 팬덤을 더 확대해 나갈 계획""이라고 말했다. .",골드,https://n.news.naver.com/mnews/article/015/0004872306?sid=102
"SK C&C, 데이터독 MSP 골드 파트너 등급 획득","ITS 전문 역량 기반으로 데이터독 모니터링 서비스 공급클라우드제트 MCMP 연계, 자원 관리부터 비용 최적화까지 지원SK 주식회사 C&amp;C CI(사진=SK 주식회사 C&amp;C 제공) *재판매 및 DB 금지【서울=뉴시스】송혜리 기자 = SK㈜ C&amp;C는 클라우드 애플리케이션 모니터링·보안 플랫폼 기업 데이터독으로부터 클라우드 관리 서비스 사업자(MSP)파트너 최고 등급인 '골드 파트너'를 받았다고 26일 밝혔다. 데이터독은 인프라·애플리케이션 성능·사용자 모니터링 및 로그 관리 등 기능을 통합하고 자동화해 IT인프라 전반의 보안과 가시성을 제공한다. 데이터독 MSP 골드파트너는 데이터독 클라우드 모니터링·관리 서비스를 체계적으로 전개할 수 있는 기업에게 수여되는 최고 파트너 인증 프로그램이다. 데이터독은 SK C&amp;C가 데이터독의 모니터링 서비스 범위를 넓히며, 국내 주요 산업의 멀티 클라우드 운영 수준을 높인 점을 평가해 MSP 골드파트너로 인증했다. SK C&amp;C는 멀티 클라우드 관리 플랫폼인 '클라우드 제트 MCMP(Cloud Z Multi Cloud Management Platform)'에 데이터독 서비스를 탑재해 클라우드 운영에 필요한 자원 관리와 변경·장애·모니터링 관리·비용 최적화 관리를 지원한다. 멀티 클라우드 관리 플랫폼은 아마존웹서비스(AWS), 마이크로소프트 애저, 구글 클라우드 등 멀티 클라우드 서비스 현황과 비용을 자동으로 분석해 최적의 자원 배분 및 비용 관리 방안을 추천한다. 이 과정에서 데이터독은 고객의 클라우드 서비스 이용 환경·운영 관련 데이터를 실시간 수집 분석해 예기치 못한 오류를 탐지하고 선제적인 클라우드 장애 예방을 뒷받침한다. 윤중식 SK C&amp;C 하이브리드 클라우드2그룹장은 ""이번 데이터독 MSP 골드 등급 획득을 통해 SK C&amp;C만의 차별화된 멀티 클라우드 서비스 수행 역량이 다시 한번 입증됐다"" 며 ""앞으로도 다양한 고객 시스템에 맞는 최적의 클라우드 서비스와 함께 경제적이고 안정적인 클라우드 시스템 운영을 위해 최선을 다하겠다""고 말했다. .",골드,https://n.news.naver.com/mnews/article/003/0011995569?sid=105
