title,content,keyword,url
"금통위원들이 바라본 '가계대출'…""빠른 증가 우려""","주택가격 상승 기대에 가계대출 급증 가능성성장 저해 우려…가계부채 고려 통화정책 시사[서울=뉴시스] 사진공동취재단 = 이창용 한국은행 총재가 13일 오전 서울 중구 한국은행에서 금융통화위원회 본회의를 주재하고 있다. 2023. 07. 13. photo@newsis. com[서울=뉴시스]남주현 기자 = 최근 서울 지역을 중심으로 주택 가격이 회복세를 보이면서 하반기에도 가계 대출 누증이 더 심화될 수 있다는 우려의 목소리가 한국은행 내부에서 나왔다. 치솟는 가계부채가 금융 안정과 성장을 막을 수 있다는 지적이다. 6일 한은 금융통화위원회(금통위) 의사록에 따르면 지난달 한은은 ""6월중 은행의 가계대출은 증가규모가 확대됐다""면서 ""은행 주택담보대출은 주택구입 관련 자금수요 확대, 입주물량 증가, 전세자금대출 증가 전환 등으로 큰 폭 증가하고 있다""고 분석했다. 부동산 시장은 그동안 고평가 국면을 보였지만 고금리와 경기 악화에 거래 감소가 맞물리며 지난해부터 빠르게 위축됐다. 하지만 올해 들어 다시 반등 조짐을 보이고 있다. 한국부동산원에 따르면 서울 지역 주택 매매 상승률은 지난 4월 -0. 34%에서 5월 -0. 11%로 낙폭을 줄이다가 6월에는 0. 05%로 상승 전환했다. 주택 시장이 회복 기미를 보이자 가계 대출도 증가세다. 은행 가계대출 증감폭은 3월 -7100억원에서 4월 2조억원으로 상승전환했고, 6월에는 6조원 더 늘었다. 주담대는 5월과 6월 각각 4조원, 6월 7조원 증가하며 가계대출을 주도하고 있다. 6월 말 가계대출 잔액은 1062조 원으로 역대 최대치를 기록했다. 이에 대해 한은은 ""수요·공급 여건을 고려할 때 하반기 중 금융권 가계 대출이 과거만큼 빠르게 증가하지는 않을 것으로 예상되지만 GDP대비 가계부채 비율이 100%를 상회하는 높은 수준을 유지하고 있다는 점에서 가계대출 증가 속도가 빨라질 가능성을  경계할 필요가 있다""고 봤다. 금통위원 역시 하반기 가계대출 급증세에 대한 우려를 나타냈다. 한 위원은 ""대출태도가 완화된 상황에서 주택가격 상승 기대가 높아질 경우 가계대출이 빠르게 증가할 가능성이 있다""고 전망했다. 다른 위원은 ""주택 매매거래가 회복되는 움직임을 보이면서 가계대출이 그동안 감소 흐름에서 다시 증가로 전환됨에 따라 장기간 누증된 가계부채의 디레버리징(부채 감축)을 지연·약화시킬 수 있다""고 지적했다. 위원들은 높은 가계대출 수준이 경제 회복의 발목을 잡을 것을 우려했다. 한 금통위원은 ""높은 가계부채 비율과 부동산 PF대출 부실 문제 등은 향후 정책 운용의 폭을 좁히고 소비와 경기 회복 및 시장 심리를 억누르는 요인이 될 것""이라고 언급했다. 또 다른 위원은 ""세계 최고 수준인 GDP대비 가계부채 비율이 더 상승할 경우 우리 경제운영에 제약요인으로 작용한다""고 우려했다. 우리나라는 지난해 말 기준 GDP 대비 가계부채 비율은 105%로 43개 주요국 중 3번째로 높다. [서울=뉴시스] 조성봉 기자= 금융당국은 오는 27일부터 역전세로 보증금 반환에 어려움을 겪고 있는 집주인들에게 전세보증금 차액만큼 대출 규제를 완화하는 프로그램을 모든 은행에서 1년간 한시적으로 운영한다, 사진은 26일 남산에서 바라본 서울의 아파트 모습. 2023. 07. 26. suncho21@newsis. com최근 가계 부채의 급증 원인으로는 정부의 규제 완화 등 거시 건전성 정책에 변화를 거론한 금통위원이 다수였다. 기준금리가 지난 2월부터 3. 5%를 유지하고 있지만 가계대출은 4월부터 증가세로 전환됐다는 점에서다. 한 금통위원은 ""최근 주택 대출의 증가는 정책 변화가 상당 부분 영향을 준 것""이라면서 ""LTV(주택담보대출비율)와 DTI(총부채상환비율) 및 DSR(총부채원리금상환비율) 등을 감안해 거시건전성 정책 규제 강도를 지수화해야 한다""고 말했다다른 위원은 ""전세보증금반환대출에 대해 DSR 규제를 완화한 것은 전세 시장 안정화를 위해 필요한 점을 인정하더라도 앞으로 시장에서 DSR 규제가 완화될 수 있다는 기대심리가 형성되지 않도록 면밀한 관리가 필요하다""고 했다. 정부의 정책 변화를 당부하는 발언도 나왔다. 또 다른 위원은 ""규제 당국이 예전의 방식대로 관리하게 되면 가계부채 비율을 낮추기 어려워 보인다""면서 ""저성장 기조하에서는 규제 당국도 가계부채 관리의 구조적인 측면을 고민해 볼 필요가 있다""고 지적했다. 다수의 금통위원들은 통화 정책 운영에 가계 부채를 적극 반영해야 한다는 의견을 냈다. 앞서 7월 금통위에서는 금리 결정의 이유로 처음으로 가계부채를 언급한 바 있다. 금통위 직후 열린 기자간담회에서도 이창용 총재는 가계부채 문제를 통화 정책의 중요한 목표의 하나로 설정하고 대응하겠다고 시사했다. 한 금통위원은 ""앞으로도 가계대출이 증가로 금융불균형 위험을 키우는 요인으로 작용할 우려가 크다""고 지적하며 ""향후 기준금리의 추가 인상 가능성도 열어둬야 한다""고 말했다．.",대출,https://n.news.naver.com/mnews/article/003/0012015421?sid=101
"이동관측 ""배우자 명의 대출, 금융실명법·증여세 대상 아냐""","인사말하는 이동관 방송통신위원장 후보자[연합뉴스 자료사진]    (서울=연합뉴스) 이정현 기자 = 이동관 방송통신위원장 후보자 측은 6일 ""이 후보자의 배우자 명의 대출은 금융실명법 적용 대상도 증여세 납부 대상도 아니다""라고 밝혔다. 이 후보자 측은 이날 보도참고 자료에서 ""금융실명법 제2조에 따르면 대출(여신거래)이나 보증 등 특정인의 금융기관에 대한 채무부담을 내용으로 하는 거래는 법상 금융자산에 관한 거래가 아니므로 금융실명법상으로 대출을 실지명의로 할 의무가 없다""며 이같이 말했다. 그러면서 이러한 내용은 '금융실명거래 업무해설'과 '금융실명제 종합편람'에서도 확인할 수 있고, 금융거래의 비밀보장과 관련해 유사한 취지의 대법원 판례도 있다고 강조했다. 이 후보자 측은 ""따라서 배우자 대출의 경우 금융실명법 적용 대상이 아니며, 배우자의 실지 명의로 대출을 실행했으므로 금융실명법 위반이 아니다""라고 했다. 이 후보자 측은 또 ""배우자 명의로 대출받았으나 대출 실행 시 후보자의 부동산을 담보로 제공했고, 대출금의 경우 후보자의 채무 변제 및 임차보증금 증액에 사용했으므로 사실상 채무자는 후보자이며 차후 대출금을 상환한 것도 채무자인 후보자가 변제한 것에 해당해 배우자에 대한 증여로 볼 수 없다""고 밝혔다. 이어 ""배우자의 대출로 배우자에게 재산 또는 이익이 이전되거나 배우자의 재산 가치가 증가하지 않았으므로 증여에 해당하지 않는다""고 덧붙였다. 그러면서 ""후보자 측에서 증여세 납부 대상이 아니며, 금융실명법 위반도 아니라는 점을 충분히 설명했음에도 악의적으로 보도한 것에 대해 강한 유감을 표한다""고 했다. lisa@yna. co. kr.",대출,https://n.news.naver.com/mnews/article/001/0014115350?sid=100
신혼부부 주택 특례대출 기준 상향 추진,"국민의힘 청년정책 총괄 기구인 청년정책네트워크 특별위원회(특위)가 신혼부부의 특례 주택자금 대출 소득 기준을 현행 부부합산 7000만원에서 최대 1억원까지 상향하는 방안을 검토하고 있다. 6일 여당 관계자 등에 따르면 특위는 결혼 후 가구 소득이 늘어난 맞벌이 신혼부부들이 저금리 대출 혜택에서 제외되는 문제를 해소하기 위해 이르면 이번 주 중 이 같은 내용의 신혼부부 주거 안정 대책을 발표한다. 소득 기준 금액을 올려 맞벌이 신혼부부도 특례 주택자금 대출을 받을 수 있도록 혜택을 확대하겠다는 것이다. 현재 신혼부부가 정부의 특례 대출을 통해 저금리로 주택 구입자금을 대출받기 위해서는 부부 합산 연 소득이 7000만원 이하여야 한다. 2021년 국세통계연보 기준 직장인 세전 평균 연봉이 4024만원이었던 점을 고려하면, 대다수 맞벌이 신혼부부는 특례 대출 대상에서 제외되는 것이다. 반면 1인 미혼 가구의 경우 연 소득이 6000만원 이하면 대출을 받을 수 있다. 신혼부부와 비교하면 상대적으로 대출 받기가 쉽다. 당 관계자는 ""결혼 전 혼자일 때는 얼마든지 대출이 가능했는데, 결혼하는 순간 부부 합산 소득이 올라가면서 대출이 불가능해지는 경우가 있다""며 ""이 때문에 일각에서는 '결혼이 곧 페널티'라는 이야기까지 나오는 실정""이라고 지적했다. 아울러 특례 전세자금 대출 소득 기준도 현재 신혼부부 기준 6000만원에서 최대 9000만원까지 상향하는 방안이 당 안팎에서 거론되고 있다. 정부는 저출산 대책의 일환으로 신혼부부의 대출 소득 요건 완화 방안을 들여다보고 있다. 앞서 대통령 직속 저출산고령사회위원회(이하 저출산위)는 신혼부부 대상 주택구입자금 대출 특례 상품의 연 소득 기준 상한을 8500만원, 전세자금 대출 특례 상품의 연 소득 기준 상한을 7500만원으로 각각 현재보다 1500만원씩 높이는 방안을 검토하겠다고 밝혔다. 이 관계자는 ""당에서는 정부안보다 더 큰 폭으로 기준 상향을 검토해야 한다는 입장이지만, 정부와 협의를 거쳐야 하는 만큼 구체적으로 확정된 내용은 아직 없다""고 했다. 연합뉴스.",대출,https://n.news.naver.com/mnews/article/029/0002817901?sid=100
"'5%대 고금리' 기업대출, 7개월 연속 늘었다…대기업대출도 '쑥'","5대 시중은행 기업대출 잔액 738. 9조…한달 만에 6. 5조 증가중기대출 2. 43% 늘때 대기업대출 잔액 연초 대비 15. 27%↑기업대출 금리 2개월째 상승…""기업 자금조달 환경 악화""[이데일리 유은실 기자] 지난해 연말 주춤했던 국내 시중은행의 기업대출이 올해 들어 성장세를 지속하고 있다. 지난 5월 상승 전환한 기업대출금리의 오름세가 이어지면서 금리 수준이 5%대에서 떨어지지 않는 데다, 자금 사정이 나빠진 기업들이 자금 조달책으로 은행 대출을 늘린 영향으로 풀이된다. 특히 무역 등 대내외 환경에 영향을 받는 대기업의 대출 잔액은 올초 대비 10% 이상 뛰었다. (사진=뉴시스)6일 은행권에 따르면 국내 5대 시중은행(KB국민·신한·하나·우리·NH농협은행)의 7월 말 기준 기업대출 잔액은 738조8919억원으로 전월 대비 0. 9%(6조5790억원) 늘었다. 연초와 비교하면 4. 42%(31조2876억원) 증가한 수치다. 지난해 12월 기준으로 전월 대비 0. 94%(6조6945억원) 감소한 모습을 보였던 기업대출은 올해 1월 증가 전환한 뒤 7개월 연속 증가세를 보이고 있다. 기업대출을 자세히 살펴보면 대기업대출 잔액은 126조2095억원으로 한달 전보다 2. 43%(2조9979억원) 증가했다. 같은 기간 중소기업대출 잔액은 0. 58%(3조5811억원) 늘어난 612조6823억원을 기록했다. 기업대출이 증가 배경으론 시중금리 상승세가 꼽힌다. 한때 상승세가 누그러졌던 시중금리가 다시 오르면서 기업대출 증가폭도 확대되고 있다는 분석이다. 기업대출 지표금리인 CD(양도성예금증서·91일) 금리는 5월 3. 64%에서 6월엔 3. 75%로 올랐다. 실제 한국은행이 발표한 ‘금융기관 가중평균 금리’ 통계에 따르면 지난 6월 신규취급액 기준 은행의 기업대출 연평균 금리는 5. 32%로 전월 대비 0. 12%포인트(p) 상승했다. 기업대출 연평균 금리는 3월 5. 25%에서 4월 5. 04%로 감소한 뒤, 5월 5. 20%로 반등하며 2개월 연속 상승세를 보이고 있다. 반면 6월 가계대출 연평균 금리는 4. 81%로 5월 대비 0. 02%포인트 감소했다. 특히 지난해 12월 소폭 줄었던 대기업대출은 7개월 연속 늘어나며 가계대출 증가세를 견인하고 있다. 기업대출별로 보면 대기업대출의 증가폭이 중소기업대출보다 더 컸다. 대기업 대출 잔액은 올해 1월 109조4832억원에서 올해 7월 126조2095억원으로 15. 27%(16조7263억원) 늘었다. 해당 기간 598조1211억원에서 612조6824억원으로 늘어난 중소기업대출 잔액 증가율은 2. 43%로 집계됐다. 자금이 필요한 대기업들이 은행 문을 두드리면서 대기업 대출 잔액이 꾸준히 늘고 있는 것으로 보인다. 대규모 사업을 영위하기 위해서는 막대한 자금이 필요한데 글로벌 경제와 영업환경이 모두 악화되면서 자금조달에 어려움을 겪는 기업이 늘고 있어서다. 한국무역협회가 7월 수출기업 500개사를 대상으로 진행한 실태조사에 따르면 응답 기업 65. 6%가 “자금사정이 악화됐다”고 응답했다. 금융권 관계자는 “올해 상반기 회사채 발행규모가 늘고 대기업 대출 잔액도 함께 증가하고 있다”며 “자금조달이 필요한 대기업들이 회사채 발행과 은행 대출로 이를 충당하고 있는 모습”이라고 설명했다. .",대출,https://n.news.naver.com/mnews/article/018/0005545599?sid=101
"'역전세 대출' 받은 집주인, 1년 뒤에는…'날벼락'","역전세 대출의 역설…집주인 신용경색 비상1년간 주담대 한도 늘어나지만신용대출은 만기연장 안될 수도정부 ""집주인이 불편 감수해야""韓銀 ""가계대출 불안 키울 것""정부가 지난달 시행한 ‘역전세 반환대출 규제 완화’로 인해 앞으로 1년 동안 집주인에게 심각한 신용 경색이 나타날 수 있다는 우려가 나오고 있다. 이번 조치에 따라 일시적으로 대출 한도가 늘어나지만 향후 1년 내 만기가 돌아오는 신용대출 등 다른 대출은 연장 계약이 되지 않아 일시에 상환해야 할 수도 있기 때문이다. 이에 따라 집주인은 역전세 반환대출을 받기 전 앞으로 만기가 돌아올 다른 대출의 상환 시기와 현금 동원 여력 등을 꼼꼼히 따져봐야 한다는 지적이 나온다. 종전 신용대출엔 DSR 40% 적용지난달 27일 시행된 역전세 반환대출 규제 완화는 1년간 한시적으로 역전세 위기에 놓인 집주인에게 대출 한도를 늘려주는 게 핵심이다. 이전까지는 ‘총부채원리금상환비율(DSR) 40%’ 기준에 따라 집주인의 최대 대출 한도가 제한됐는데, 내년 7월 말까지 1년 동안은 전세보증금 반환 목적 대출에 한해 ‘총부채상환비율(DTI) 60%’ 규제가 적용된다. DSR 40% 규제 대신 DTI 60% 규제를 적용받는 집주인은 이전보다 많은 대출을 받을 수 있게 된다. 연소득이 1억원인 집주인의 주택담보대출 한도(금리 연 4. 0%, 30년 만기)는 최대 7억원에서 10억5000만원으로 3억5000만원 늘어난다. 연소득이 5000만원인 집주인은 3억5000만원에서 5억2500만원으로 한도가 1억7500만원 늘어난다. 문제는 규제 완화 조치가 시행되기 이전까지 주담대뿐만 아니라 신용대출 등을 함께 받아 DSR 40%를 꽉 채워 빚을 지고 있던 집주인이다. 역전세 반환대출을 받으면 DTI 60% 한도까지 추가적인 주담대를 받을 수 있지만 기존에 받아놓은 신용대출 등 다른 대출엔 이전과 같은 DSR 40% 규제가 적용된다. 이에 역전세 반환대출을 받은 이후엔 기존 신용대출은 만기 연장 목적의 재계약도 불가능해 일시 상환해야 한다. 한 시중은행 관계자는 “신용대출은 보통 만기가 1년으로 짧기 때문에 기존에 신용대출을 갖고 있는 차주는 역전세 반환대출을 받으면 세입자에게 돈을 돌려주는 것보다 오히려 더 큰 자금난을 겪을 수 있다”고 강조했다. 전문가 “주택 매도도 고려해야”정부는 역전세 반환대출 규제 완화 조치가 집주인에게 일종의 특혜를 주는 정책인 만큼 집주인이 만기가 도래하는 다른 대출은 당연히 갚아야 한다는 입장이다. 금융위원회 관계자는 “신용대출은 만기가 도래하면 당연히 상환해야 하는 대출”이라며 “역전세 반환대출을 받는 집주인이라면 추가적인 신용대출 연장 계약을 체결하지 못하는 불편함 정도는 감수해야 한다”고 말했다. 이에 전문가들은 역전세 위험에 놓인 집주인이라면 주택을 아예 매도하는 전략도 살펴봐야 한다고 조언했다. 김효선 농협은행 부동산전문위원은 “경기가 침체 국면으로 들어가기 때문에 하반기 주택 시장은 상반기만큼 좋지 않을 것으로 보는 시각도 상당하다”며 “서울 주택은 전세가율이 낮은 만큼 매각을 해도 세입자에게 전세금을 돌려줄 수 있는 곳이 많기 때문에 본인의 자금 사정에 따라 주택 매도를 고민해볼 필요도 있다”고 했다. 역전세 반환대출 규제 완화 조치가 가계대출 불안을 키울 것이란 비판도 제기된다. 한국은행은 지난 17일 연구보고서를 통해 세계에서 세 번째로 높은 국내 가계부채 비율을 낮추기 위한 방법으로 DSR 규제 예외의 축소를 권고했다. .",대출,https://n.news.naver.com/mnews/article/015/0004876648?sid=101
[단독]버팀목 대출 받았더니 건보료 3배,"[앵커]디딤돌 대출과 버팀목 대출은 서민들이 집을 구매하거나 전세를 구할 때 정부가 싼 이자로 대출해주는 제도입니다. 그런데 한 자영업자가 버팀목 대출을 받았는데 건강보험료가 무려 3배나 오르는 일이 벌어졌습니다. 일반 대출은 보험료 산정에서 빼주는데 정작 서민을 위한 대출이 사각지대에 놓인 겁니다. 우현기 기자의 단독보도입니다. [기자]60대 자영업자 A씨. 지난 3월 버팀목 대출로 전세자금 1억 2천만 원을 받았습니다. 그런데 한 달 뒤, 건강보험료가 3배 가까이 오른 고지서가 날아왔습니다. [A씨] ""그 전까지는 2만 7천원 냈거든요. 그 다음달에 보니까 7만 8천몇백원 나와서…""  보건복지부는 지난해 9월부터 지역가입자의 건강보험료 산정시 실거주목적으로 빌린 주택 대출금을 공제해주고 있습니다. 그런데 서민을 위해 도입한 디딤돌·버팀목 대출은 해당되지 않는 겁니다. [A씨] ""(적용 대상에) 제1금융권 은행, 2금융권 증권사 보험사 저축은행, 제3금융권 대부업체까지도 나와있습니다. 이 모든 항목에 버팀목은 안 들어가 있다는 소리입니다. "" 복지부는 현행법상 건보료를 공제하려면 '금융회사 등으로부터' 받은 대출이어야 해서 주택도시보증공사가 운용 주체인 버팀목과 디딤돌은 안된다고 설명합니다. 제도상 허점이 있다는 지적이 나옵니다. [이용선 / 더불어민주당 의원] ""정책적으로 지원해야할 대상을 거꾸로 오히려 그들을 소외시키고 배제시키는 (법안입니다. ) 개정안을 발의 준비하고 있다는 말씀 드리겠습니다""  최근 5년간 디딤돌과 버팀목 대출을 받은 건수는 약 120만 건입니다. [A씨] ""이런 것을 알고 대출받는 사람이 대한민국에 1명이라도 있겠느냐. 결국 버팀목이라는게 말 그대로 버티다가 목 날아가라는 소리죠. ""  복지부는 제도 개선책을 찾겠다고 했습니다. 채널A 뉴스 우현기입니다. 영상취재 : 박연수 김명철 정기섭 영상편집 : 형새봄.",대출,https://n.news.naver.com/mnews/article/449/0000254957?sid=100
"'새마을금고도 포함' 금감원, PF 대출 관리 긴급점검 전금융권 확대","행안부 감독 소관이라 점검 예외였던 새마을금고까지 범정부 지원단에 점검 서식 전달2018. 4. 17/뉴스1 ⓒ News1 임세영 기자(서울=뉴스1) 김정현 기자 = 경남은행의 562억원대 횡령 사고와 관련해 금융감독원이 은행권에 이어 전 금융권에 부동산 프로젝트파이낸싱(PF) 대출 자금 관리 내역 점검을 지시했다. 6일 금융권에 따르면 금감원은 지난 3일부터 4일까지 증권사 및 보험사, 캐피탈, 상호금융 등 전 금융권역에 공문을 보내 PF 대출 자금 관리 내역을 점검해 보고하라고 통보했다. 금감원은 지난 2일에는 PF 대출을 취급하는 모든 시중은행에 PF 자금 지급 현황을 파악해 보고하라는 긴급 점검 지시를 내렸다. 이에 시중은행 담당 부서들은 현재 대출 현황 등을 파악하는데 분주한 상태다. 또 이번 긴급 점검에는 행정안전부 감독 소관인 새마을금고까지 포함된 것으로 알려졌다. 금감원은 현재 운영되고 있는 '범정부 새마을금고 실무 지원단'에 점검 관련 공통 서식을 전달한 것으로 전해졌다. 특히 이번 점검에는 지난해 PF 대출 관련 횡령 사고가 발생한 저축은행들에 대한 집중 점검이 이뤄질 것으로 전망된다. 앞서 저축은행권에서는 지난해 KB저축은행(94억원), 모아저축은행(59억원), 한국투자저축은행(8억원) 등에서 PF 대출 관련 횡령이 발생한 바 있다. .",대출,https://n.news.naver.com/mnews/article/421/0006974220?sid=101
'대출금 갖고 잠적' 합천영상테마파크 호텔 시행사 대표 체포,"경남경찰청, 5일 대전 소재 모텔에서 A씨 검거. . . 구속영장 신청 예정▲  합천영상테마파크 호텔 공사 현장. ⓒ 경남도민일보 경남 합천영상테마파크 내 호텔 건립사업 관련한 거액의 대출금을 들고 잠적했던 시행사 대표가 경찰에 붙잡혔다. 경남도경찰청 광역수사대는 합천영상테마파크 호텔 조성사업 시행사 대표 A씨를 지난 5일 0시 30분경 대전에 있는 한 모텔에서 검거했다고 6일 밝혔다. A씨는 특정경제가중처벌등에관한법률(업무상배임, 횡령) 위반 혐의를 받고 있다. 경찰은 체포된 피의자에 대해 조사 후 구속영장을 신청할 예정이라고 밝혔다. 합천군과 업체는 2021년 9월 숙박시설 건립을 위한 실시협약을 맺었고 , 같은해 12월에는 금융기관들로 구성된 금융대주단과 A시행사가 프로젝트 파이낸싱(PF) 대출 약정을 체결했으며, 2022년 9월 합천영상테마파크 호텔 착공식을 갖기도 했다. 그런데 시행사 대표가 지난 4월 잠적했던 것이다. 이에 합천군은 지난 6월 ""합천영상테마파크 내 호텔 건립사업의 시행사 대표가 거액의 대출금을 들고 잠적했다""며 실시협약 해지 통보를 했다. 그러면서 합천군은 A씨를 포함해 관계자 5명을 고발했던 것이다. 대출금은 공사비 300억원과 부대사업비 250억원 등 550억원이고, 당시 호텔 건립공사 공정은 6% 정도였다. 합천군은 ""시행사 대표가 최소 100억원, 많게는 200억원 이상의 돈을 들고 간 것으로 추산한다""고 밝히기도 했다. 합천영상테마파크 호텔 조성사업은 2024년까지 사업비 590억원을 들여, 합천군 용주면 영상테마파크 내 1607㎡ 부지에 연면적 7336㎡에 5층 200실 규모로 건립하는 사업으로, A시행사가 합천군에서 무상 제공한 부지에 호텔을 지어 20년간 운영한 뒤 기부채납하는 방식의 수익형 민간투자사업이었다. 영상촬영 세트장인 합천영상테마파크는 2004년 건립되었고, 1920년대부터 1980년대까지 시대적 배경을 알 수 있도록 건물과 거리, 전차 등이 재현되어 꾸며져 있다. 경남경찰청 관계자는 ""A씨는 현재 경찰서 유치장에 수감되어 있다""며 ""함께 고발되었던 4명에 대해서는 수사를 해왔고 모두 불구속 상태이다. 공모 관계 등에 대해 더 조사를 해야 하고, 구속영장 신청 등 절차를 진행할 예정이다""라고 밝혔다. .",대출,https://n.news.naver.com/mnews/article/047/0002401641?sid=102
"미국 국채 흔들리니, 한국 대출금리 들썩","대표적 안전자산인 미국 국채가 흔들리고 있다. 미국 국가 신용등급 강등, 일본의 긴축 전환 등 여러 악재가 겹치면서 미국 장기 국채 금리가 급등하고 있다. 이 여파로 한국의 대출 금리도 오를 것이라는 우려가 커진다. 5일(현지시간) 금융투자정보 업체인 인베스팅닷컴에 따르면 3. 8%대를 유지했던 미국 국채 10년물 금리는 3일 장중 4. 179%까지 치솟았다. 지난해 11월 이후 9개월 만에 최고치다. 미 연방준비제도(Fed)의 기준금리 인상이 마무리 단계임에도 오르는 것은 이례적이다. 몇 가지 악재가 복합적으로 작용했다. 김주원 기자           우선 국제 신용평가사 피치가 미국 국가 신용등급(IDRs·장기외화표시발행자등급)을 ‘AAA’에서 ‘AA+’로 한 단계 낮췄다. 미국 정부의 국가 채무 부담이 크다는 이유였다. 미국 재무부가 3분기 장기채 발행 규모를 960억 달러에서 1030억 달러(134조7240억원)로 늘린 상황에서 국가 채무에 대한 부정적 평가는 미국 국채 신뢰 저하로 이어졌다. 이런 미국 국채 금리 상승 흐름은 지난 2011년 스탠더드앤드푸어스(S&amp;P)가 미국 신용등급을 낮췄을 때와는 정반대다. 2011년 당시에는 안전자산 선호가 커지면서 오히려 미국 국채 금리가 떨어졌다. 수요 감소도 영향을 미쳤다. 특히 외국인 중 미국 국채 최다 보유 1·2위인 일본과 중국의 매도세가 컸다. 지난 5월 일본은 전달 대비 300억 달러, 중국은 121억 달러의 미국 국채를 팔았다. 중국의 미국 국채 보유 규모는 13년 만에 최소 수준으로 떨어졌다. 이 영향으로 5월 외국인의 미국 국채 보유량(7조5270억 달러)은 전달 대비 53억 달러 줄어들면서, 지난 2월 이후 처음으로 감소했다. 여기에 일본은행이 긴축으로 통화정책을 전환할 조짐을 보이는 것도 미국 국채에 악영향을 끼쳤다. 일본의 금리가 오르면, 미국 국채에 투자한 일본 자금이 자국으로 빠져나가기 때문이다. 김주원 기자           물가 상승세의 장기화로 미국의 기준금리 인하 시점이 늦어지고 있는 점도 악영향을 줬다. 최근에는 미국 소비자물가지수(CPI)의 재상승 우려마저 나온다. 물가에 영향력이 큰 유가가 오르고 있다는 점도 부담이다. 세계 시장 금리의 기준이 되는 미국 국채 금리의 상승은 한국 시장 금리도 끌어올린다. 미국 국채 금리가 장기간 높은 수준을 유지하면, 이보다 안정성이 떨어지는 한국 채권은 금리를 더 높일 수밖에 없다. 이는 기업의 자금 조달 비용을 높이고, 은행의 대출 금리를 상승시킨다. 실제 미국 신용등급 강등 직후인 지난 2일부터 한국 국고채 10년물 금리도 3거래일 상승해, 지난 5일 연중 최고치인 3. 88%까지 올랐다. 성태윤 연세대 경제학과 교수는 “미국 국채 금리 상승은 전반적인 시장 금리 오름세를 유발해, 대출 금리 상승으로 이어진다”면서 “한국은행이 기준금리를 올리지 않아도 기업과 가계는 사실상 금리가 오른 것과 같은 부담을 지게 되는 셈”이라고 했다. ◆미 채권 투자 서학개미도 타격=미국 국채 금리가 들썩이면서 미국 채권에 투자한 개미들의 우려도 커지고 있다. 한국예탁결제원 증권정보포털에 따르면 올해 초부터 지난 4일까지 국내 투자자가 가장 많이 순매수한 해외 종목은 ‘디렉시온 데일리 20+ 이어 트레저리 불 3× 셰어스’ 상장지수펀드(ETF)였다. 순매수액만 7억8000만 달러(1조202억원)에 달하는 이 상품은 잔존만기가 20년 이상 남은 미국 국채 30년물에 투자한다. 채권금리 하락(채권가격 상승)에 베팅해 차익의 3배를 추종하지만, 반대로 채권금리가 상승(채권가격 하락)하면 손실도 3배가 발생한다. 미국 국채 30년물 금리도 지난 3일 4. 304%로 연중 최고치로 올랐기 때문에 관련 종목 투자자 손실은 불가피하다. .",대출,https://n.news.naver.com/mnews/article/025/0003298941?sid=101
5대은행 가계대출 3개월 연속 증가,"(서울=뉴스1) 박지혜 기자 = 은행 가계대출이 3개월 연속 늘어나는 등 심상찮은 증가세를 보이면서 불안감을 키우고 있다. 6일 금융권에 따르면 5대 시중은행(KB국민·신한·하나·우리·NH농협)의 가계대출 잔액은 7월 말 기준 679조2209억원으로, 전월보다 9755억원 늘어난 것으로 집계됐다. 사진은 이날 오후 서울시내에 설치된 주요 시중은행 현금인출기 모습. 2023. 8. 6/뉴스1.",대출,https://n.news.naver.com/mnews/article/421/0006973958?sid=101
