title,content,keyword,url
미 신용등급 강등따른 달러 강세… 환테크족 ‘달러 예금’으로 눈길,"한국의 7월 외환보유액이 2개월 연속 증가하며 전 세계 8위를 차지한 가운데, 3일 서울 중구 하나은행 위변조대응센터에서 직원이 달러 지폐를 정리하고 있다. 원·달러 환율은 이날 1300원을 넘어섰다가 4일에는 1. 6원 내린 1297. 5원에 개장했다. 뉴시스외화예금 2개월 연속 증가세금리도 원화상품보다 1%P ↑달러 약세 전환땐 환차손 우려미국의 국가신용등급 강등에 따른 안전자산 선호 심리 영향으로 달러 강세가 이어지자 ‘환테크(환율+재테크)족’의 달러 예금에 관한 관심도 커지고 있다. 최근 주요 은행의 원화 정기예금 금리는 연 3∼4%대이지만, 달러 정기예금 금리는 연 5%대로 형성돼 있다. 다만, 중장기적으로 강달러 기조가 꺾이면 환차손을 입을 수 있어 주의가 필요하다는 지적이다. 4일 KB국민·신한·하나·우리은행 등 4대 시중은행 홈페이지에 고시된 외화정기예금 금리를 보면, 12개월 만기 달러 정기예금 금리(거주자 기준)는 KB국민은행 5. 26%, 신한은행 5. 26%, 하나은행 5. 21%, 우리은행 5. 17%다. 이들 은행의 원화 정기예금 대표 상품의 최고 금리가 연 3. 65∼4. 15%인 것과 비교하면, 달러 예금의 금리 상·하단이 1%포인트 이상 더 높다. 달러예금 금리는 지난해 하반기부터 연 5%대를 유지하고 있다. 반면 정기예금 금리는 지난해 하반기부터 떨어져 한때 기준금리 밑으로 떨어졌다가 최근 4%대 금리 상품이 다시 등장했다. 시중은행이 원화 예금보다 달러 예금에 더 후한 금리를 제공하는 이유는 미국 연방준비제도(Fed)의 통화 긴축, 강달러 현상 등과 맞물려 있다. Fed는 지난해 1월 0. 25%였던 기준금리를 지난달 5. 5%까지 가파르게 올렸다. 달러 조달 비용이 상승하자 은행들은 고금리 예금으로 국내 거주자들이 보유한 달러를 유치하고 있다. 한국은행이 지난달 24일 발표한 ‘6월 중 거주자 외화예금 동향’에 따르면 지난달 말 기준 외국환은행의 거주자 외화예금은 전달보다 30억4000만 달러 늘어난 998억3000만 달러를 기록하며 최근 2개월 연속 증가했다. 시중은행 관계자는 “달러 정기예금은 원·달러 환율이 하락(달러 약세)하면, 환차손이 발생할 수 있는 만큼 환율 변동성에 유의해 단기투자는 지양해야 한다”며 “다만, 달러 예금 통장은 3개월 이상만 예치해도 5%대 금리가 적용되는데, 미국의 긴축이 장기화될 수 있다는 전망이 나오는 만큼 당분간은 환테크를 고려해봐도 괜찮을 것”이라고 설명했다. 원·달러 환율은 미국 국가 신용등급 강등 여파에 이날 오전 11시 15분 현재 전 거래일보다 4. 1원 오른 1303. 0원을 기록하는 등 1300원 선을 등락하고 있다. .",외화예금,https://n.news.naver.com/mnews/article/021/0002586659?sid=101
[그래픽] 거주자 외화예금 잔액 추이,(서울=연합뉴스) 원형민 기자 = 한국은행이 24일 발표한 '거주자 외화예금 동향'에 따르면 올해 6월 말 기준 외국환은행의 거주자외화예금 잔액은 998억3천만달러로 지난 5월 말 대비 30억4천만달러 늘었다. circlemin@yna. co. kr    페이스북 tuney. kr/LeYN1 트위터 @yonhap_graphics.,외화예금,https://n.news.naver.com/mnews/article/001/0014087350?sid=101
"""엔저 이때다""…여행·투자 몰려 엔화예금 '역대 최대' 증가","6월 거주자외화예금 30억달러↑…기업 해외소득도 영향엔화예금 12. 3억달러 증가…달러화보다 더 많이 늘었다(자료사진) /뉴스1(서울=뉴스1) 김혜지 기자 = 지난달 거주자 외화예금이 30억달러 넘게 늘어난 가운데 엔화예금 증가 폭은 역대 최대를 기록한 것으로 나타났다. 엔저와 일본 여행·투자 활황에 따라 개인 여윳돈과 투자 예탁금이 몰리면서 나타난 현상으로 풀이된다. 한국은행이 24일 발표한 '6월중 거주자외화예금 동향'에 따르면 지난달 말 기준 외국환은행의 거주자외화예금 잔액은 998억3000만달러로, 한 달 전보다 30. 4억달러 증가했다. 이는 2개월 연속 증가세다. 엔화예금이 크게 늘어난 데다 기업의 해외소득이 국내로 흘러온 영향이 컸다. 지난달 말 엔화예금 잔액은 74억8000만달러로, 전월 말에 비해 12억3000만달러 급증했다. 이는 관련 통계가 시작된 2012년 6월 이후 가장 큰 폭의 증가세다. 한은은 개인의 여유자금과 증권사의 투자자 예탁금 예치 등을 엔화예금 급증 원인으로 지목했다. 최근 원·엔 환율은 일본의 완화적 통화정책 등에 따라 8년 만에 800원대로 마감하는 등 낮은 수준을 이어가고 있다. 이에 일본에 대한 투자가 활기를 띠고 개인의 일본여행이 급증하는 등 엔화예금이 늘어날 환경이 조성된 상황이다. (한은 제공)달러화예금은 834억4000만달러로 한 달 전에 비해 11억5000만달러 늘었다. 지난 6월 엔화예금은 달러화예금보다 더 많이 증가했던 셈이다. 유로화예금은 3억5000만달러 증가, 위안화예금은 3억2000만달러 증가했다. 달러·유로화예금 증가는 기업의 해외유보소득 환류, 해외직접투자 자금 일시 예치의 영향이라고 한은은 설명했다. 거주자 외화예금은 내국인과 국내기업, 국내 6개월 이상 거주 외국인, 국내 진출 외국기업 등의 국내 외화예금을 의미한다. .",외화예금,https://n.news.naver.com/mnews/article/421/0006947002?sid=101
"수협은행, Sh똑똑환테크 외화적립예금 출시","[서울=뉴시스] 이정필 기자 = Sh수협은행은 환테크(환전+재테크)과 소액자금 적립에 관심이 있는 고객들을 위해 'Sh똑똑환테크 외화적립예금'을 신규 출시했다고 24일 밝혔다. 수협은행에 따르면 Sh똑똑환테크 외화적립예금은 최대 70% 환율 우대가 가능하다. 가입 시 고객이 지정한 목표환율에 도달하면 자동으로 적립과 해지가 이뤄진다. 달러(USD), 유로(EUR), 엔(JPY) 등 주요 통화에 대해 월 최대 1만 달러(USD) 상당액까지 입금할 수 있다. 외국환거래법상 '국민인 거주자'면 전국 수협은행 영업점이나 인터넷뱅킹, 모바일뱅킹 등에서 가입이 가능하다. 상품 출시를 기념해 10월24일까지 가입한 고객에게는 최대 90% 환율 우대를 적용한다. 이어 12월29일까지 목표환율에 도달해 예금만기 이전에 자동해지가 된 고객에게는 약정이율을 적용해 환차익을 제공한다. .",외화예금,https://n.news.naver.com/mnews/article/003/0011991339?sid=101
너도나도 엔화 샀다…지난달 엔화예금 사상 최대 증가,"서울 중구 하나은행 위변조대응센터에서 직원이 엔화를 정리하고 있는 모습. /뉴스1지난달 엔화 예금이 사상 최대 폭으로 늘어났다. 100엔당 원화 값이 800~900원대를 오가는 기록적 엔저에 너도나도 엔화 사모으기에 나선 결과다. 24일 한국은행은 올해 6월 말 기준 외국환은행의 거주자외화예금 잔액이 총 998억3000만 달러로 지난 5월 말 대비 30억4000만 달러 늘었다고 밝혔다. 이 중 엔화예금이 12억3000만 달러(약 1조6260억원)어치 증가해 월별 증가 폭으로 사상 최대였다. 달러 예금은 11억5000만 달러 늘었고 유로화 예금(3억5000만 달러), 위안화 예금(3억2000만 달러) 등도 증가했다. 거주자 외화예금은 내국인과 국내 기업, 국내 6개월 이상 거주한 외국인, 국내 진출 외국 기업 등의 국내 외화예금을 말한다. 엔화 예금이 역대급으로 증가한 것은, 엔화 가치가 8년 만에 가장 낮은 수준까지 떨어지면서 앞으로 엔화 가치 상승에 베팅한 사람들이 많았기 때문이다. 한은 국제국 자본이동분석팀 관계자는 “엔화 가치가 떨어지면서 개인들이 환차익을 노리고 여유자금을 엔화로 바꾸거나, 최근 일본 여행을 다녀와서 환전하고 남는 자금을 넣어둔 경우, 엔화로 일본 주식에 투자한 경우 등 다양한 요인으로 엔화 예금이 늘었다”고 분석했다. 지난 20년간 원·엔 환율이 800원대로 떨어진 엔저는 2006~2007년과 2015년, 그리고 현재까지 총 세 차례 있었다. 직전 엔저 때인 2015년에는 100엔당 890원이 저점이었다. 이달 초에도 100엔당 898엔까지 내려가기도 했다. 주요 투자은행(IB)과 이코노미스트들은 향후 1년간 엔화 가치가 상승할 것으로 전망하고 있다. 반면 ‘미스터엔’으로 불리는 사카키바라 에이스케 전 일본 재무성 차관은 최근 언론 인터뷰에서 현재 달러당 140엔대인 엔화 가치가 내년엔 달러당 160엔을 넘어설 수 있다며 추가적인 엔화 약세를 전망하기도 했다. .",외화예금,https://n.news.naver.com/mnews/article/023/0003777663?sid=101
"[해양수산 소식] Sh수협은행, ‘Sh똑똑환테크 외화적립예금’ 출시外","Sh수협은행은 환테크(환전+재테크)과 소액자금 적립에 관심이 있는 고객들을 위해 ‘Sh똑똑환테크 외화적립예금’을 신규 출시했다고 밝혔다. 수협은행 제공◆Sh수협은행, ‘Sh똑똑환테크 외화적립예금’ 출시Sh수협은행(은행장 강신숙)은 환테크(환전+재테크)과 소액자금 적립에 관심이 있는 고객들을 위해 ‘Sh똑똑환테크 외화적립예금’을 신규 출시했다고 25일 밝혔다. Sh똑똑환테크 외화적립예금은 최대 70% 환율 우대가 가능하며, 가입시 고객이 지정한 목표환율에 도달하면 자동으로 적립과 해지가 이뤄져 더 쉽고 편리하게 환차익 실현이 가능한 똑똑한 외화예금 상품이다. 달러(USD), 유로(EUR), 엔(JPY)의 주요 통화에 대해 월 최대 1만 달러(USD) 상당액까지 입금할 수 있으며, 외국환거래법상 ‘국민인 거주자’면 누구나 전국 수협은행 영업점 또는 인터넷뱅킹, 모바일뱅킹 등을 통해서 간편하게 가입이 가능하다. 상품 출시를 기념해 오는 10월 24일까지 가입한 고객에게는 최대 90% 환율 우대를 적용하고, 12월 29일까지 목표환율에 도달해 예금만기 이전에 자동해지가 된 고객에 대해서는 약정이율을 적용해 환차익을 제공한다. 한편, 수협은행은 주요 통화에 대해 일정금액 이상 예치한 고객 중 추첨을 통해 총 150명을 선정해 모바일 커피쿠폰을 제공하는 이벤트도 함께 진행한다. 수협은행 관계자는 “Sh똑똑환테크 외화적립예금은 환테크와 소액자금 적립, 해외여행자금 마련 등에 관심이 있는 고객이라면 누구나 쉽고 편리하게 환차익을 실현할 수 있는 똑똑한 상품”이라며 “수협은행은 앞으로도 고객니즈와 편의를 반영해 다양한 외화상품과 서비스를 제공하겠다”고 말했다. 유천우 수협은행 신임 비상임이사. 수협은행 제공◆수협은행, 비상임이사에 유천우 예보 부장 선임Sh수협은행(은행장 강신숙)은 지난 24일 서울 송파구 오금로 수협은행 본사에서 ‘2023년도 제7차 주주총회’를 개최하고 신임 비상임이사로 유천우 예금보험공사 회수기획부장 선임을 의결했다고 25일 밝혔다. 신임 유천우 비상임이사는 한국방송통신대 경영학과를 졸업하고 고려대에서 경영학 석사학위를 받았으며 예금보험공사에 입사해 감사실 팀장, 부산경남지역 통할실장, 해외재산조사부장을 거쳐 현재 회수기획부장으로 재임 중이다. 신임 유천우 비상임이사의 임기는 25일부터 2025년 7월 24일까지 2년이다. 수협은행 관계자는 “유천우 신임 비상임이사는 국내외 금융시장 및 예금보험 제도운영에 대한 풍부한 경험을 갖춘 전문가로 수협은행의 경쟁력 제고 및 위상 강화 등에 크게 기여할 것으로 기대한다”고 선임 배경을 설명했다. ‘수산식품 가공분야 인력양성 시범교육’ 교육생 모집 포스터. 어촌어항공단 제공◆‘수산식품 가공분야 인력양성 시범교육’ 교육생 30명 모집한국어촌어항공단(이하 공단)은 수산식품산업의 지속 가능한 발전 및 인력양성을 위해 오는 8월 4일까지 ‘수산식품 가공분야 인력양성 시범교육’에 참여할 교육생 30명을 공개 모집한다고 25일 밝혔다. 이번 교육은 ‘수산식품산업법’ 제6조(수산식품산업 전문인력 양성)에 근거해 수산식품기업의 성장을 주도할 핵심인재(경영자․관리자) 등을 대상으로 수산식품 가공분야 교육을 통해 미래인재를 양성하는 것에 목적을 두고 있다. 교육은 대상자(경영자․관리자) 맞춤형 과정으로 경영 분야와 수산기술 분야 과정으로 편성된다. 주요 과정으로는 △수산식품 가공기술 트렌드 △비즈니스 모델과 브랜드화 △미래기업 생존 기술론 △수산식품 개발 △푸드테크 △식품안전 및 위생 등으로 구성될 예정이다. 교육 강사진은 수산식품 가공 및 관련 분야별 유관기관, 업계 종사자, 학계 등 수산식품 및 교육 분야의 전문가로 구성되며, 강사와 교육생 간 양방향 교육 운영을 통해 교육의 유연성 및 효과성을 높일 예정이다. 교육생 모집 관련 기타 자세한 내용은 공단 홈페이지(www. fipa. or. kr)에서 확인할 수 있다. 박경철 어촌어항공단 이사장은 “이번 시범교육을 통해 수산식품 가공분야의 지속 가능한 발전을 주도하여 전 세계적 경쟁력을 강화할 수 있는 기틀을 마련하겠다”고 말했다. APEC SEN 사무국은 국제승선실습 프로그램 참여 학생 10개국, 40명을 대상으로 진행한 ‘포괄적이고 지속 가능한 해양 APEC SEN 역량강화 프로그램’을 성료했다고 밝혔다. 해양수산연수원 제공◆‘해양 APEC SEN 역량강화 프로그램’ 성료APEC SEN 사무국(사무총장 김민종)은 국제승선실습 프로그램 참여 학생 10개국, 40명을 대상으로 진행한 ‘포괄적이고 지속 가능한 해양 APEC SEN 역량강화 프로그램’(5월 22일~7월 24일)을 성료했다고 25일 밝혔다. 이 프로그램은 APEC 공식 인증 프로젝트로서 아·태지역 해운산업을 이끌어 나갈 차세대 해기인력의 역량 강화를 지원하기 위해 설계됐다. 현재 유엔(UN) 및 국제해사기구(IMO)의 지속가능개발목표(SDGs)에 따라 점차 그 중요성이 강조되고 있는 △글로벌 다문화 리더십 △선상 커뮤니케이션 능력 제고 △선원 정신건강 증진 △양성평등 △APEC SEN 모의정상회의 총 5개의 모듈로 구성됐다. 특히 이 프로그램은 페루, 멕시코 및 필리핀 APEC 회원국 3개국 내 해양분야(정부·해군 등)에서 활동하는 정부 고위급 인사들의 특별강연을 포함해 학생들이 세계 해운 리더들과 리더십, 양성평등 등 다양한 주제로 직접 소통할 수 있는 기회도 제공됐다. 김민종 사무총장은 “APEC SEN 역량강화 프로그램 시행을 통해 해양분야의 차세대 글로벌 리더를 발굴하고, 향후 APEC 뿐만 아니라 UN 등 더욱 폭넓은 국제기구와 함께 프로그램을 확대 시행할 수 있도록 노력하겠다”고 말했다. 일본 아키타현 사루타 카즈미 부지사(왼쪽)와 울산항만공사(UPA) 김재균 사장이 기념품을 교환하며 기념사진을 찍고 있다. UPA 제공◆일본 아키타현 부지사, 울산항만공사 방문울산항만공사(UPA)는 지난 24일 오후 일본 아키타현 사루타 카즈미 부지사 일행이 공사를 방문해 울산항과 아키타현 간 친환경에너지 상호 협력 방안을 모색했다고 25일 밝혔다. 부지사 일행은 울산항의 친환경에너지 물류사업을 벤치마킹하기 위해 UPA를 찾은 것으로 알려졌다. UPA는 글로벌 에너지 패러다임 전환에 발맞춰 추진 중인 울산항 친환경에너지 물류허브 사업을 소개하며, 울산항은 선도적으로 저탄소 에너지인 액화천연가스(LNG), 메탄올과 무탄소 에너지인 수소, 암모니아 취급 인프라 구축과 활성화, 부유식 해상풍력사업 등에 역량을 집중하고 있다고 설명했다. 양측은 UPA의 동북아 친환경에너지 물류허브 사업과 아키타현 탄소중립 추진 사업의 접점에 대해 논의하고 상호 협력방안을 마련해 나가기로 협의했다. UPA 김재균 사장은 “아키타현 부지사의 방문으로 울산항 친환경에너지 물류허브 사업에 대한 기대감을 느낄 수 있었다”며 “앞으로 울산항과 아키타현 간 우호 협력관계를 미래지향적으로 발전시켜 나가겠다”고 밝혔다. 한편, 부지사 일행은 공사 방문에 이어 울산북신항 1단계 건설 현장을 방문해 친환경 에너지 거점 항만으로서 울산항의 경쟁력을 확인하는 시간을 가졌다. 한국수산자원공단 동해본부(본부장 최성균, 가운데)는 지난 21일, 혹서기를 대비해 에너지 취약계층 어르신의 건강한 여름나기를 위한 물품을 지원했다. 수산공단 제공◆수산공단 동해본부, 에너지 취약계층에 여름나기 물품 후원한국수산자원공단(이사장 이춘우) 동해본부는 지난 21일, 혹서기를 대비해 에너지 취약계층 어르신의 건강한 여름나기를 위한 물품을 지원했다고 25일 밝혔다. 수산공단 동해본부는 학산종합사회복지관(관장 이형)과 지난 3월에 양해각서를 체결했으며, 복지관에서 주관하는 식사배달 자원봉사에 매주 참여하는 등 지속적이고 진정성있는 사회공헌 활동을 추진하고 있다. 이번 여름나기 물품 후원도 식사배달 자원봉사와 연계해 진행되었으며, 여름이불, 쿨베개, 보냉병 등으로 구성된 여름나기 물품 꾸러미와 마음을 담은 손편지를 거동이 불편한 에너지 취약계층 어르신들에게 전달했다. 최성균 수산공단 동해본부장은 “여름나기 물품 후원을 통해 지역사회의 어려운 이웃들에게 조금이나마 도움이 되었기를 바란다”며 “앞으로도 ESG경영 실천을 위하여 지속적으로 사회공헌 활동을 진행하겠다”고 말했다. .",외화예금,https://n.news.naver.com/mnews/article/082/0001223956?sid=101
"자산운용업계, '법인 외화 MMF' 첫 출시","""안정적인 단기 외화 예치 수단 기대""[서울=뉴시스] 박은비 기자 = 금융투자협회는 자산운용업계가 12일부터 순차적으로 법인 외화(USD) 단기금융집합투자기구(MMF)를 출시할 계획이라고 밝혔다. 기존 MMF는 원화로만 운용이 가능했지만 지난해 8월 자본시장법 시행령 개정으로 외화로도 운용할 수 있게 됐다. 다만 단일 외화로만 가능하다. 예를 들어 미국 달러 외화 MMF는 달러로만 납입·운용·환매가 가능한 식이다. 앞으로 달러뿐 아니라 엔화(JPY), 유로화(EUR), 위안화(CNY) 등으로도 출시될 전망이다. 업계는 외화 MMF가 처음 출시되는 상품인 만큼 법인용 먼저 출시해 빠른 시장 안착을 유도하기로 했다. 현재 6개 운용사에서 법인용 외화 MMF 6개를 출시해 증권사·은행 등에서 판매할 예정이며 점차 늘어날 것으로 예상된다. 금투협 관계자는 ""외화 MMF는 기업의 수출입 과정에서 발생·보유하는 단기 외화자금을 안정적으로 운용하며 하루만 예치해도 수익을 지급하는 등 기업에 안정성과 수익성 모두 제공할 것으로 기대된다""며 ""외화 예금 외에 법인의 외화 단기 자금을 운용할 수 있는 상품으로 법인 투자자의 선택권이 확대될 것""이고 설명했다. .",외화예금,https://n.news.naver.com/mnews/article/003/0011969557?sid=101
외화MMF 첫선…1000억불 달러예금 '머니무브' 가능할까,"삼성·한투·우리운용 지난주 출시. . KB·미래 등도 준비달러예금 대비 수익률 높지만 1%p 내외로 크지 않아   환매주기 최대 'T+4일'로 길어 환금성 단점으로 지적달러예금 시장을 공략할 자산운용업계의 외화표시 머니마켓펀드(MMF) 상품이 지난주 첫선을 보였다. 자산운용업계는 예금보다 더 높은 수익률을 제공한다는 점에서 120조원이 넘는 달러예금 시장의 '머니무브'를 기대한다. 하지만 성공적인 머니무브가 가능할지는 아직 미지수다. 외화예금 대비 환매주기가 3~4일 정도 길어 투자자 입장에서 자금활용에 단점으로 작용할 수 있기 때문이다. 이와 같은 문제로 법인 대상 상품에 이어 개인 전용 상품 출시가 쉽지 않을 것이란 전망도 나온다. 20일 금융투자협회 및 자산운용업계에 따르면 지난주 삼성자산운용, 한국투자신탁운용, 우리자산운용이 법인 대상 외화MMF 상품을 연이어 출시했다. KB자산운용, 미래에셋자산운용, IBK자산운용도 출시를 준비 중이다. 처음 10여곳의 자산운용사들이 외화MMF 출시를 검토했으나 시장이 열림과 동시에 출시 준비에 나선 곳은 현재 6곳이 전부다. 외화MMF는 달러 등 외화로 자금을 받아 단기채권 등 외화 단기금융 자산에 투자하는 상품이다. 지금까지는 원화로만 MMF 운용이 가능했는데 금융당국이 공모펀드 경쟁력 제고방안 일환으로 도입을 추진했다. 다양한 공모펀드 출현을 유도하고 수출기업의 외화 운용을 지원하려는 취지에서다. 법인 기업은 환전 없이 달러로 MMF에 직접 투자할 수 있다. 자산운용사들은 주로 미국 초단기 국채인 T-bill, 달러 기업어음(CP), 달러 예금 등에 투자해 약 5%대 수익률을 기대하고 있다. 달러 정기예금 수익률(7일 미만 연 3. 4~4. 3%, 1개월 연 4. 5~4. 7%)과 비교해 소폭 높다. 대규모 외화를 보유하고 있는 수출입 기업의 경우 외화예금뿐이던 외화운용 수단의 선택권이 넓어진 셈이다. 달러예금 대비 외화MMF 경쟁력은 '글쎄'다만 일각에서는 외화 예금대비 경쟁력이 크지 않다는 지적이 나온다. 한국은행에 따르면 지난 5월말 기준 전체 외화예금 잔액은 967억9000만달러, 이중 기업예금은 826억7000만달러 규모다. 우리 돈 약 104조원에 달한다. 20일 현재 외화MMF에 들어온 자금은 7719만달러(설정원본 기준) 규모로 우리 돈 약 973억원 수준이다. 짧은 시간 작지 않은 규모로 볼 수 있지만 달러예금과 비교하면 0. 09% 수준에 불과하다. 금융투자업계 관계자는 ""외화예금과 수익률 차이가 사실상 1%포인트 내외로 크지 않고 기존 외화RP와 비교해서도 차이가 크지 않다""면서 ""대출 등 은행과 자금 문제로 복잡하게 얽혀있는 기업 입장에서 1% 미만 수익률을 위해 대규모로 자금을 이동하기가 쉽지 않아 (외화MMF) 시장이 어느 정도까지 확대될지는 두고 봐야 한다""고 말했다. 수시입출금이 가능한 외화예금 대비 환매주기가 긴 부분도 단점으로 꼽힌다. 외화MMF 환매주기는 상품에 따라 T+2~3일 혹은 T+3~4일이다. 원화 MMF는 영업일 기준 다음날 환매가 가능한데 이와 비교해서도 최대 3일가량 환매가 늦어지는 셈이다. 금융투자업계 관계자는 ""미국 달러로 표시되는 펀드로 미국 국채 등을 편입하다 보니 미국시장내 채권 매매 등 시차 반영으로 환매시기가 길어질 수밖에 없다""면서 ""장을 여는 시간이 다르다 보니 여타 다른 해외채권형 펀드처럼 환매시기가 최대 T+4일 정도까지 걸릴 수 있다""고 설명했다. 가령 월요일 오후 5시 이후 환매를 요청하면 금요일 환급을 받을 수 있다. 자산운용업계 한 관계자는 ""상품 출시 전 기업 고객들을 대상으로 사전조사를 실시한 결과 바로 환매할 수 없어 환금성이 부족한 부분이 단점으로 지적됐다""면서 ""일부 운용사들이 환매시기를 보다 앞당겨 상품 경쟁력을 확보하려 했지만 외화를 활용하는 만큼 환급 문제가 발생하지 않도록 전체적으로 환매시기를 맞추기로 하면서 외화예금과 비교해 경쟁력이 크다고 보기 어렵게 됐다""고 토로했다. 개인형 MMF 출시 여부를 불투명하게 보는 시각도 이 같은 환매주기가 일부 영향이 있다는 분석이다. 자산운용업계 관계자는 ""법인은 결제일 등이 정해져 있어 미리 환매시기를 어느 정도 짐작할 수 있지만, 개인은 이를 짐작하기 어렵다""면서 ""환금성을 중요시하는 개인이 환매주기가 긴 상품에 메력을 느끼고 선택할지는 의문""이라고 말했다. 더욱이 개인형의 경우 법인형 대비 펀드 규모가 작을 것으로 예상되는데, 펀드설정 이전 투자자 모집도 쉽지 않아 규모를 갖추기 위해 자산운용사들이 고유자산을 투입해야 하는 등 부담이 있을 수 있다는 시각도 있다. 금융감독원 관계자는 ""개인형 외화MMF는 제도적인 미비점 등을 보완하고 법인형 외화MMF를 통해 다른 문제가 없는지 모니터링을 통해 결정하게 될 것""이라며 ""아직까지 개인형 외화MMF 출시 내용은 결정된 바가 없다""고 말했다. .",외화예금,https://n.news.naver.com/mnews/article/648/0000018042?sid=101
"법인 '달러 MMF' 첫 출시…""수출입 단기 외화자금 운용""","금융투자협회는 자산운용업계에서 오늘(12일)부터 순차적으로 법인 외화(USD) 단기금융집합투자기구(MMF)를 출시할 계획이라고 밝혔습니다. 기존 MMF는 원화로만 운용이 가능했지만 지난해 8월 자본시장법 시행령 개정으로 외화로도 운용할 수 있게 됐습니다. 다만 단일 외화로만 가능합니다. 미국 달러 외화 MMF는 달러로만 납입이나 운용, 환매를 할 수 있는 겁니다. 앞으로 달러뿐 아니라 엔화나 유로화, 위안화 등도 출시할 예정입니다. 외화 MMF가 처음 출시되는 상품인 만큼 법인용을 먼저 출시해 시장 안착을 유도한다는 설명입니다. 6개 운용사에서 법인용 외화 MMF 6개를 출시해 증권사나 은행 등에서 판매할 예정입니다. 금투협 관계자는 ""외화 MMF는 기업의 수출입 과정에서 발생·보유하는 단기 외화자금을 안정적으로 운용하며, 하루만 예치해도 수익을 지급하는 등 기업에 안정성과 수익성 모두 제공할 것으로 기대된다""라면서 ""외화 예금 외에 법인의 외화 단기 자금을 운용할 수 있는 상품으로 법인 투자자의 선택권이 확대될 것""이라고 말했습니다. 당신의 제보가 뉴스로 만들어집니다. SBS Biz는 여러분의 제보를 기다리고 있습니다. 홈페이지 = https://url. kr/9pghjn.",외화예금,https://n.news.naver.com/mnews/article/374/0000343236?sid=101
"신한은행, 모두투어 제휴 외화예금 이벤트","신한은행 제공. 신한은행은 외화 예·적금 상품 가입 고객을 대상으로 모두투어 여행상품 할인쿠폰을 제공하는 '외화예금 4U 이벤트'를 실시한다고 4일 밝혔다. 외화예금 4U 이벤트는 12월 31일까지 진행된다. 신한은행의 대표 외화 예·적금 상품인 △Someday(썸데이)외화적금 △신한 Value-up 외화적립예금 △외화정기예금 △신한 Value-up 외화회전정기예금 가입 고객을 대상으로 모두투어 해외여행 패키지 상품 3% 할인 쿠폰을 제공한다. 썸데이 외화적금은 최소 USD 1달러부터 최대 1만달러까지 횟수 제한 없이 입금이 가능한 비대면 전용 상품이다. 입금 시 최대 90%까지 환율을 우대받을 수 있다. 해지 시 현찰수수료 없이 외화 현찰로 찾을 수 있어, 환테크와 달러 현찰 보유에 관심 있는 고객들에게 적합한 상품이다. 신한은행 관계자는 ""본격적인 여름 휴가철을 맞아 해외여행과 환테크에 관심이 많은 고객들에게 특별한 혜택을 제공하고자 이번 이벤트를 준비했다""며 ""앞으로도 고객의 니즈를 반영해 다양한 서비스와 이벤트를 준비하겠다""고 말했다. .",외화예금,https://n.news.naver.com/mnews/article/029/0002811146?sid=101
