title,content,keyword,url
'깨알 정보' 가득한 입주 모집공고…청약자격부터 확인을,"청약 당첨 첫걸음입주자 모집공고우선공급 기준 등지자체마다 제각각규제 지역일 경우계약금·전매제한의무거주기간 확인분양사고 우려되면배상금 조항 잘 봐야지난 1월 올해 첫 아파트 1순위 청약을 한 경남 창원시 성산구의 한 대형 건설사 모델하우스. 한경DB하반기 들어 아파트 청약시장이 달아오르면서 예비 청약자는 유용한 정보 찾기에 분주하다. 하지만 고급 정보는 멀리 있지 않다. 가장 핵심적인 정보가 담긴 ‘입주자 모집공고’가 한국부동산원 청약홈에 공개돼 있기 때문이다. 입주자 모집공고에는 주택의 위치, 주택형, 주택공급 가격, 유의사항 등 모든 정보가 담겨 있다. 깨알 같은 글씨 때문에 등한시하는 예비 청약자가 적지 않다. 전문가들은 “청약 당첨의 첫걸음은 모집공고문을 꼼꼼히 읽는 것”이라고 조언했다. ‘우선공급 요건’ 놓치면 부적격입주자 모집공고에서 가장 중요한 파트는 ‘청약 자격 조건’이다. 이 조건들을 놓치면 청약에 당첨되더라도 부적격 판정을 받을 수 있다. 올 들어 서울 강남 3구(강남·서초·송파구)와 용산구를 제외한 모든 지역이 부동산 규제 지역에서 해제되면서 예비 청약자들이 놓칠 수 있는 부분이 많아졌다. 대표적인 게 ‘우선공급 기준’이다. 청약할 때는 같은 순위 내에서도 해당 지역 거주자냐, 기타지역 거주자냐에 따라 우선공급 여부가 갈린다. 해당 지역 거주자가 우선공급 대상이다. 규제 지역은 일괄적으로 등기부등본 기재 기준으로 해당 지역에 2년을 살아야 우선공급 대상으로 인정한다. 하지만 비규제 지역은 지방자치단체 조례로 정하게끔 돼 있다. 지역마다 제각각이라는 얘기다. 한 분양업계 관계자는 “지자체마다 1년, 2년 등 우선공급 대상 여부가 달라지는 만큼 입주자 모집공고에서 꼭 우선공급 기준을 확인해야 한다”며 “당연히 해당 지역 거주자라고 생각해 청약 신청을 했다가 등기부등본상 거주 요건이 충족되지 않아 부적격 판정을 받을 수 있다”고 말했다. 규제 지역은 계약금 규정, 전매제한, 의무거주기간 등도 주의해야 한다. 윤지해 부동산R114 리서치팀장은 “일반적으로 계약금이 분양가의 10%인 데 비해 강남 3구, 용산구 등 규제 지역은 계약금이 20%”라며 “갑작스럽게 수억원의 계약금을 마련하지 못해 당첨을 포기하면 10년 동안 당첨 기회가 제한된다”고 말했다. 그는 “전매제한 기간과 실거주 의무 기간 등을 확인하지 못해 애써 당첨된 기회를 놓치는 실수를 범하지 말아야 한다”고 덧붙였다. 여러 단지에 청약 신청을 한다면 당첨자 발표일을 꼭 확인해야 한다. 두 건 이상 청약에 당첨됐다면 당첨자 발표일이 빠른 게 인정되고, 이후에 발표되는 단지는 당첨이 자동 취소된다는 점도 유의해야 한다. “무조건 꼼꼼히…안 읽으면 손해”입주자 모집공고에는 예비 수요자가 가장 관심 있게 보는 분양가도 담겨 있다. 주택형별 및 층별 분양가가 상세히 담겨 있다. 예비 청약자들이 빼놓지 않고 확인하는 부분이다. 분양가와 중도금 대출 조건 등을 살펴보면 분양 단지 특징을 파악할 수 있다. 한 대형건설사 분양소장은 “대체로 로열층이 비싸고 저층은 다소 저렴하지만 일부 단지는 저층 분양가를 로열층에 비해 눈에 띄게 큰 폭으로 낮추기도 한다”며 “저층 당첨자의 만족도를 높이기 위한 전략”이라고 말했다. 분양가 외 옵션(마감재 선택) 비용도 주의 깊게 봐야 한다는 조언이다. 윤수민 농협은행 부동산전문위원은 “발코니 확장비, 시스템에어컨 등 주요 옵션을 더하면 추가 1억원 정도 더 부담되는 단지도 있다”며 “옵션까지 고려해 자금 계획을 세워야 차질이 생기지 않는다”고 말했다. 여러 옵션을 비교해 필요한 옵션만 고르는 과정도 필요하다. 과거엔 시공사가 여러 옵션을 묶어 패키지로 선택하게 유도했는데 요즘엔 수요에 맞게 개별 옵션을 선택할 수 있는 단지가 많아졌기 때문이다. 공사 기간 지연, 분양사고 등이 우려될 때도 입주자 모집공고를 유심히 볼 필요가 있다. 지연배상금, 지체상금 등의 내용이 담겨 있기 때문이다. 한 분양업계 관계자는 “입주자 모집공고에 주택도시보증공사(HUG)의 보증서 번호와 보증금액 등이 쓰여 있다”며 “대부분 단지는 HUG의 분양보증이 포함되지만, 일부 소규모 사업장이나 지역주택조합 단지는 경기 악화 시 사업 자체가 위태로울 수 있기 때문에 꼭 HUG 보증 여부를 파악해야 한다”고 말했다. 보증서 번호를 확인한 후 HUG 홈페이지에 입력하면 허위 보증을 가려낼 수 있다는 설명이다. .",주택청약,https://n.news.naver.com/mnews/article/015/0004876626?sid=101
8월 둘째 주 전국 1550가구 청약 접수…모델하우스 6곳 오픈,"전국 7곳 청약 접수, 서울 지역 모델하우스 오픈 2곳광명 센트럴 아이파크 등 당첨자 발표 6곳, 계약 4곳[이데일리 이윤화 기자] 부동산 전문 리서치업체 리얼투데이에 따르면 8월 둘째 주에는 전국 7곳에서 총 1550가구(민간임대 포함, 행복주택 제외)가 청약 접수를 받는다. 수도권에서는 서울 강북구 ‘수유 시그니티’(32가구), 경기 시흥시 ‘효성해링턴 플레이스 목감역’(145가구), 인천 미추홀구 ‘포레나 인천학익’(250가구) 3곳의 1순위 청약 접수가 예정돼 있다. 지방에서는 강원 원주시 ‘원주자이 센트로’(970가구), 대구 중구 ‘대구 달성파크 푸르지오 힐스테이트’(38가구) 등 4곳의 청약이 이뤄진다. 한화 건설부문은 8일 인천 미추홀구 학익동 일원에 짓는 ‘포레나 인천학익’의 1순위 청약 접수를 받는다. 지하 2층~지상 최고 29층, 5개 동, 전용면적 49~74㎡ 총 562가구 규모로 조성되며, 이 중 250가구가 일반분양 대상이다. 학익4구역 주택재개발정비조합에서 공급하는 단지로 연학초, 인주초·중, 학익초·고, 학익여고, 인하사대부고 등이 인근에 위치해 있다. 같은 날 GS건설은 강원 원주시 단구동 일원에 짓는 ‘원주자이 센트로’의 1순위 청약 접수를 받는다. 지하 3층~지상 29층, 8개 동, 전용면적 84~130㎡ 총 970가구 규모다. 원주 첫 자이 브랜드 아파트다. 단지는 중앙고속도로 남원주 IC를 통해 주변으로 이동이 수월하고, 시청로가 인접해 있어 무실동, 명륜동, 원주 혁신도시 등의 원주 시내로 이동이 쉽다. 다음 주는 6곳의 모델하우스가 오픈할 예정이다. 특히 이문1구역 재개발 사업으로 공급되는 ‘래미안 라그란데’는 이 일대가 활발한 정비사업 추진으로 신흥 주거타운으로 변모하고 있어 수요자들의 관심이 높다. 당첨자 발표는 ‘호반써밋 고덕신도시 3차’, ‘광명 센트럴 아이파크’ 등 6곳이며, 정당 계약은 ‘춘천 레이크시티 아이파크’ 등 4곳에서 이뤄진다. 11일 삼성물산은 서울 동대문구 이문동 일원에 건립되는 ‘래미안 라그란데’의 모델하우스를 오픈할 예정이다. 지하 5층~지상 27층, 39개 동, 전용면적 52~144㎡, 총 3069가구 중 920가구가 일반에 분양된다. 단지는 이문1재정비촉진구역 재개발 사업으로 공급되며 지하철 1호선 외대앞역과 신이문역을 걸어서 이용할 수 있고, 수도권광역급행철도(GTX) B, C노선이 예정된 청량리역과도 가깝다. 같은날 SK에코플랜트는 서울 성동구 용답동 일원에 건립되는 ‘청계 SK뷰’의 모델하우스를 오픈할 예정이다. 지하 5층~지상 34층, 3개 동, 전용면적 59~84㎡ 총 396가구 중 108가구를 일반에 분양한다. 단지는 서울 지하철 2호선 신답역, 5호선 답십리역이 가까운 더블 역세권 입지를 갖췄다. .",주택청약,https://n.news.naver.com/mnews/article/018/0005545295?sid=101
이번 주 전국 2307가구 분양…'래미안라그란데' 견본주택 개관,"포레나 인천학익 투시도. /사진제공=한화이번 주 전국에 2307가구가 공급된다. 서울에서는 강북구 수유동 '수유시그니티'가 청약 접수를 받고 동대문구 이문동 '래미안라그란데'가 견본주택을 연다. 6일 부동산R114에 따르면 8월 둘째 주에는 전국 7개 단지 총 2307가구(일반분양 1512가구)가 분양을 시작한다. 서울 강북구 수유동 '수유시그니티', 인천 미추홀구 학익동 '포레나인천학익', 강원 원주시 단구동 '원주자이센트로' 등에서 청약을 진행한다. 한화건설은 인천 미추홀구 학익동 290-1번지 일원에서 학익4주택재개발 정비사업을 통해 '포레나인천학익'을 분양한다. 지하 2층~지상 최고 29층, 5개동, 총 562가구 중 전용면적 49~74㎡ 250가구를 일반분양한다. 미추홀대로를 통해 송도·청라 국제도시 진출입이 용이하며, 수인분당선 인하대역과 학익역(2026년 개통 예정)이 근거리에 위치한다. 단지 주변으로 초중고교 교육시설이 풍부하며 대형마트, 종합병원, 영화관, 법원, 공원 등의 생활 기반 시설이 다양하다. 래미안라그란데 조감도. /사진제공=삼성물산견본주택은 서울 동대문구 이문동 '래미안라그란데', 서울 성동구 용답동 '청계SK뷰', 광주 북구 신용동 '힐스테이트신용더리버' 등 6곳이 개관 예정이다. 삼성물산은 서울 동대문구 이문동 257-42번지 일원에서 이문1주택재개발 정비사업을 통해 '래미안라그란데'를 분양할 예정이다. 지하 5층~지상 최고 27층, 39개동, 총 3069가구 중 전용면적 52~114㎡ 920가구를 일반분양한다. 지하철1호선 외대앞역과 신이문역 역세권이며 청량리역 일대 개발에 따른 수혜도 예상된다. 청량리역은 1호선과 수인분당선, 경의중앙선 노선 외에도 앞으로 GTX(수도권광역급행철도) B·C노선이 들어설 예정이며 광역환승센터가 계획돼 있다. 차량 이용 시 내부순환로와 북부·동부간선도로를 통해 서울 전역으로 이동이 편리하다. .",주택청약,https://n.news.naver.com/mnews/article/008/0004921662?sid=101
'래미안 라그란데' 14일부터 청약…3.3㎡당 평균 3285만원,"39개 동 규모로 조성…920가구 일반분양 14일 특별공급·16일 1순위 청약 진행 예정[서울=뉴시스] 래미안 라그란데 조감도. [서울=뉴시스] 박성환 기자 = 삼성물산 건설부문(이하 삼성물산)은 서울특별시 동대문구 이문1구역을 재개발하는 '래미안 라그란데' 입주자모집공고를 래미안 홈페이지에 등록하고, 본격적인 분양에 나선다고 4일 밝혔다. 래미안 라그란데는 동대문구 이문동 257-42번지 일대를 지하 5층~지상 최고 27층, 39개 동 규모로 재개발하는 사업이다. 단지명인 라그란데(La Grande)는 스페인어로 유일한 것을 의미하는 'La'와 대도시를 뜻하는 'Grande'의 합성어다. 래미안 라그란데는 총 3069세대 규모의 대단지로, 이 중 920가구가 일반분양 물량이다. 전용면적 별로는 ▲52㎡ 45세대 ▲55㎡ 173세대 ▲59㎡ 379세대 ▲74㎡ 123세대 ▲84㎡ 182세대 ▲99㎡ 10세대 ▲114㎡ 8세대가 일반분양 대상이다. 중소형 가구는 물론 세대구분형(전용 74㎡C 타입) 등 특화평면까지 다양하게 선보인다. 래미안 라그란데의 일반분양가는 3. 3㎡당 평균 3285만원으로, 전용 84㎡ 기준 10억~11억원 가량 책정됐다. 래미안 라그란데는 편리한 교통과 우수한 교육환경, 다양한 생활편의시설과 커뮤니티시설을 갖췄다. 지하철 1호선 외대앞역과 신이문역을 걸어서 이용할 수 있고, 6개 노선이 정차하는 청량리역 접근이 용이함. 청량리역은 향후 GTX(수도권광역급행철도) B·C노선과 함께 광역환승센터도 들어설 계획이다. 또 내부순환로와 북부·동부간선도로를 통해 서울 전역으로 이동이 편리하다. 단지 인근에는 이문초, 청량초, 석관중·고, 경희초·중·고(사립)와 한국외대, 경희대, 한국예술종합학교 등이 있음. 롯데백화점 청량리점, 롯데마트 청량리점, 코스트코 상봉점, 이마트 묵동점, 경희의료원, 삼육서울병원 등 생활편의시설 이용이 편리하고 천장산과 중랑천도 가깝다. 세대 내부에는 타입별 침실 붙박이장과 드레스룸(일부 타입), 팬트리 등을 제공하고, 전 세대에 세대창고를 제공함. 음성인식, 얼굴인식 등 첨단 시스템을 적용하고 숲을 테마로 한 다양한 테마정원과 순환형 산책로 등을 조성할 계획이다. 단지별 커뮤니티센터에는 피트니스, 골프연습장, 사우나, 입주민카페, 게스트하우스, 어린이집 등의 부대시설이 들어설 예정이다. 삼성물산은 오는 11일부터 15일까지 서울 송파구 문정동 래미안갤러리에 래미안 라그란데 견본주택을 개관할 예정이다. 운영시간은 오전 10시부터 오후 6시까지다. 견본주택에 방문하면 래미안 라그란데 분양 정보뿐만 아니라 래미안갤러리 여름 시즌 전시회인 스마일 컬러팝과 네컷사진 촬영, 캘리그래피 등 다양한 이벤트도 함께 즐길 수 있다. 래미안 라그란데 일반분양 일정은 오는 14일 특별공급, 16일 1순위 청약이 진행된다. 한국부동산원 청약홈 사이트를 통해 접수한다. 청약 결과발표는 23일, 당첨자 계약은 9월 3일부터 6일까지다. 전용면적 85㎡ 이하는 60%, 85㎡ 초과 세대는 100% 추첨제로 진행되고, 서울·경기·인천에 거주하는 만 19세 이상 성인은 유주택자도 청약이 가능하다. 또 세대주는 물론 세대원도 일반공급 물량에 청약할 수 있다. 래미안 라그란데의 분양권 전매제한은 1년(당첨자 발표일 기준)이며, 실거주 의무가 없다. 입주 예정일은 2025년 1월이다. 삼성물산 관계자는 ""래미안 라그란데는 대규모 정비사업을 통해 신흥 주거타운으로 변모하고 있는 이문·휘경재정비촉진지구에 들어서는 래미안 대단지로 고객들의 관심이 높은 상황""이라며 ""입주 후에도 자부심을 가지고 거주할 수 있는 아파트로 만들도록 최선을 다 할 것""이라고 말했다. .",주택청약,https://n.news.naver.com/mnews/article/003/0012013180?sid=101
[이번주 분양 단지] 청약시장 비수기 접어드나,"전국 1500가구 공급 그쳐인천 학익지구 등 7곳여름이 '청약 비수기'로 꼽히는 만큼 이번주 분양시장에서는 아파트가 1500가구가량으로 적게 공급된다. 6일 부동산 정보업체 리얼투데이에 따르면 8월 둘째주(7~11일)에는 전국 7곳에서 총 1550가구가 청약을 접수한다. 이는 민간 임대주택을 포함하고 행복주택을 제외한 수치다. 수도권에선 서울 강북구에 지어지는 '수유 시그니티'가 7일 32가구에 대해 1순위 청약 신청을 받는다. 전용면적이 22~48㎡로 소형 위주다. 전용 48㎡ 분양가가 6억3400만원으로 책정됐다. 인천에선 한화 건설부문이 짓는 '포레나 인천학익'이 분양에 돌입한다. 7일 특별공급을 시작으로 8일 1순위, 9일 2순위 청약을 각각 진행한다. 학익4구역 재개발을 통해 공급되는 포레나 인천학익은 인천 미추홀구 학익동에 지하 2층~지상 최고 29층, 5개동 규모로 들어선다. 전체 562가구 가운데 250가구가 일반분양 대상이다. 전용면적 59㎡ 분양가는 4억원대 중반으로 정해졌다. 계약금 1000만원 정액제인 게 특징이다. 단지가 약 5000가구 규모 주거타운으로 거듭날 인천 학익지구 중심부에 위치해 있다. 현재 학익동과 주안동 일대에선 도시정비사업이 활발하게 진행되며 브랜드 아파트가 속속 들어서고 있다. 문학IC와 도화IC를 통해 인천대로, 제2경인고속도로 등으로 진입할 수 있다. 같은 기간 GS건설은 강원 원주시 단구동에 짓는 '원주자이 센트로' 청약 신청을 받는다. 원주자이 센트로는 지하 3층부터 지상 29층, 8개동, 970가구 규모다. 전용면적은 84~130㎡ 중대형 평형으로 구성됐다. 국민평형으로 불리는 전용 84㎡ 분양가가 4억원대 중반으로 책정됐다. 경기 시흥 논곡동에선 '효성해링턴 플레이스 목감역'(145가구), 경북 울진군에선 '울진 하버펠리체'(67가구), 경남 거창군에선 '대동리 나리안길 107동'(48가구)이 각각 입주자를 모집한다. [이희수 기자].",주택청약,https://n.news.naver.com/mnews/article/009/0005168850?sid=101
서울 분양시장 활기 되찾아…올해 청약 경쟁률 급등,"올해 1∼7월 67. 7대 1 기록…지난해 연간보다 6배 이상 높아 자양동 '롯데캐슬 이스트폴' 1순위 청약에 4만여명 신청[연합뉴스 자료사진](서울=연합뉴스) 김치연 기자 = 올해 들어 서울 아파트 청약경쟁률이 6배 이상 뛴 것으로 나타났다. 3일 부동산R114에 따르면 올해 1∼7월 서울에서 13개 단지, 1천334가구(일반공급) 모집에 9만198명이 몰려 평균 67. 6대 1의 경쟁률을 기록했다. 이는 6천707가구 공급에 7만3천81명이 신청해 평균 10. 9대 1의 경쟁률 보인 지난해 연간 기록과 비교하면 6배 이상 높은 것이다. 서울 분양 시장이 올해 들어 활기를 되찾은 데에는 정부의 부동산 규제 해제가 주효했던 것으로 분석된다. 세대원, 유주택자도 1순위 청약이 가능하게 됐고, 가점제만으로 입주자를 모집했던 전용면적 85㎡ 이하 물량은 가점제 40%와 추첨제 60%로 입주자를 모집할 수 있게 됐다. 그동안 낮은 가점으로 청약에 어려움을 겪던 20·30세대 젊은 수요층도 추첨제를 통해 당첨 기회를 얻게 된 것이다. 최근 청약을 진행한 서울 아파트 단지들도 흥행 행진을 이어가고 있다. 한국부동산원 청약홈에 따르면 서울 광진구 자양동 '롯데캐슬 이스트폴'은 지난 1일 1순위 청약을 진행한 결과 420가구(특별공급 제외) 모집에 4만1천344가구가 신청해 1순위 평균 98. 4대 1의 경쟁률을 보였다. 최고 경쟁률은 전용면적 74㎡ 주택형으로, 303. 2대 1에 달했다. 이는 올해 들어 이달 초까지 서울에서 분양한 14개 단지 중 가장 많은 청약자가 몰린 것이다. 반면 같은 기간 서울을 제외한 대부분 지역은 지난해보다 청약경쟁률이 떨어졌다. 비수도권에서는 광주(4. 27→8. 44), 강원(8. 34→8. 63), 경남(10. 03→13. 89), 충남(2. 83→5. 74), 충북(4. 00→22. 15) 등 5개 지역만 지난해보다 경쟁률이 올랐다. 청주 테크노폴리스를 중심으로 좋은 결과를 거둔 충북을 제외하고는 대부분 소폭 오르거나 보합세를 보였고, 이들 지역을 제외한 지방 전 지역의 경쟁률은 하락했다. chic@yna. co. kr.",주택청약,https://n.news.naver.com/mnews/article/001/0014108931?sid=101
"전북도, 청약과열 아파트 불법행위 집중단속","시세차익 기대 청약과열 아파트 대상 부정청약 집중단속불법행위 단속, 무주택 실수요자 보호 및 부동산 투기 근절불법행위 시 계약취소·10년간 청약제한, 형사처벌 등 엄중조치제공=전북도청[스포츠서울ㅣ전주=김기원 기자] 전라북도가 최근 청약 경쟁률이 과열되고 있는 도내 아파트 분양과 관련한 불법행위를 집중단속에 나선다. 이번 집중단속은 도 특별사법경찰과와 시군 합동으로 점검반을 구성하고, 분양사무소 주변에서 불법전매 행위 및 무등록(떴다방) 중개행위, 무자격자 중개 알선행위, 무등록 보조원 호객 행위(불법중개 전단 배포) 등 주택 공급질서 교란 불법행위 집중 단속으로 부동산 거래질서를 확립하기 위해 8월 18일까지 실시한다. 윤동욱 전북도 도민안전실장은 “도내 신축아파트에서 청약 경쟁률이 과열되고 불법행위가 늘면서 거래질서가 문란해질 우려가 있다”며, “아파트 분양사무소 주변에서의 불법행위에 대하여 선제적으로 대응해 무주택 실수요자 보호 및 부동산 투기 행위 등이 근절 될 수 있도록 지속적으로 점검하여 도민의 삶의 질 향상에 최선을 다하겠다”고 말했다. 한편, 주택법상 부정한 방법으로 청약에 당첨될 경우 3년이하 징역 또는 부당이익의 3배 이하 벌금에 처할 수 있고, 형사 처벌과 함께 계약 취소 및 향후 10년간 주택청약 자격이 제한된다. 불법·부적정 행위를 발견할 경우 도 신고전화(☎063-280-1339) 및 안전신문고 앱(www. safetyreport. go. kr)으로 신고․제보하면 된다. acdcok@hanmail. net.",주택청약,https://n.news.naver.com/mnews/article/468/0000967092?sid=102
"우리은행, 주택청약상품 가입시 캐쉬백 혜택 제공","/우리은행 제공우리은행은 '주택청약종합저축 또는 청년우대형 주택청약종합저축'을 신규 가입한 20세 이상 고객을 대상으로 '청약저축 캐쉬백'이벤트를 오는 10월 말까지 진행한다고 1일 밝혔다. 이번 이벤트는 우리WON뱅킹에서 해당 상품을 신규 가입하고 이벤트에 응모한 선착순 1만명에게 가입금 2만원을 캐쉬백으로 제공한다. 또한, 해당상품에 월 2만원 이상 자동이체를 등록한 응모고객 1만명에게는 캐쉬백 1만원을 추가로 제공한다. 주택청약종합저축은 최저 2만원부터 가입이 가능하며, 국민·민영주택 청약 신청 기회를 얻기 위해서는 반드시 가입해야 하는 금융상품이다. 2008년부터 15년째 주택도시기금 간사수탁은행 역할을 수행해 온 우리은행은 서민 주거복지 증진과 도시재생 활성화를 위한 주택도시기금 조성에 고객의 관심을 유도하고자 본 이벤트를 마련했다. 우리은행 관계자는 ""앞으로 주택청약종합저축이 내 집 마련을 통한 주거안정과 복지를 위해 꼭 필요한 금융상품이라는 것을 널리 알리면서 해당 상품 가입 고객에게 다양한 혜택을 줄 수 있는 기회를 제공하겠다""고 설명했다. .",주택청약,https://n.news.naver.com/mnews/article/448/0000421019?sid=101
[분양캘린더]전국 2307가구 분양…래미안라그란데 견본주택 개관,"'포레나인천학익' 등 일반 분양 1512가구포레나 인천학익 조감도(한화 건설부문 제공). (서울=뉴스1) 최서윤 기자 = 내주 전국 7개 아파트 단지 총 2307가구가 분양을 시작한다. 이 중 1512가구가 일반분양 물량이다. 5일 부동산R114에 따르면 이달 둘째 주 주요 분양 단지로는 한화건설이 인천 미추홀구 학익4주택재개발 정비사업을 통해 공급하는 '포레나인천학익'이 있다. 지하 2층~지상 최고 29층 5개동 총 562가구 중 전용면적 49~74㎡ 250가구를 분양한다. 송도·청라 국제도시 진출입이 용이하며 수인분당선 인하대역과 학익역(2026년 개통 예정)이 가깝다. 단지 주변 초중고교와 대형마트, 종합병원, 문화·행정시설도 다양하다고 부동산R114는 전했다. 이 밖에 △서울 강북구 수유시그니티 △광주 광산구 광주선운 신혼희망타운 행복주택 △경기 시흥 효성해링턴흘레이스 목감역 △강원 원주자이센트로 △경북 울진하버펠리체 △경남 거창 대동리나리안길107동 등 총 7개 단지가 청약 접수를 진행한다. 견본주택으로는 삼성물산이 서울 동대문구 이문1주택재개발 정비사업을 통해 공급하는 '래미안라그란데'가 첫선을 보인다. 지하 5층~지상 최고 27층 39개동 총 3069가구 중 전용 52~114㎡ 920가구가 일반분양된다. 내부순환로와 북부·동부간선도로 이용이 편리하고, 지하철1호선 외대앞·신이문역 역세권에다 청량리역 일대 개발에 따른 수혜도 예상된다. 청량리역은 1호선과 수인분당선, 경의중앙선 외에도 GTX(수도권광역급행철도) B·C노선이 들어설 예정이다. 아울러 △서울 성동구 청계SK뷰 △광주 북구 힐스테이트신용더리버 △광주 북구 힐스테이트 첨단센트럴 △제주 더샵연동애비뉴 등 총 5개 단지가 견본주택을 선보인다. ⓒ News1 김지영 디자이너.",주택청약,https://n.news.naver.com/mnews/article/421/0006972837?sid=101
'래미안 라그란데' 14일부터 청약…4일 입주자모집 공고,"삼성물산 건설부문이 ‘래미안 라그란데’ 입주자모집공고를 내고 본격 분양에 나선다고 4일 밝혔다. 일반분양 물량이 920가구에 달하는 데다 1주택자 추첨제 물량도 66가구가 배정돼 수요자들의 관심이 집중되고 있다. 서울시 동대문구 이문1구역을 재개발하는 래미안 라그란데는 이문동 257-42번지 일대를 지하5층~지상 최고 27층, 39개동 규모로 재개발하는 사업이다. 단지명인 라그란데(La Grande)는 스페인어로 유일한 것을 의미하는 ‘La’와 대도시를 뜻하는‘Grande’의 합성어다. 총 3069세대 규모의 대단지로 이 중 920가구가 일반분양 물량이다. 전용면적 별로는 △52㎡ 45세대, △55㎡ 173세대, △59㎡ 379세대, △74㎡ 123세대, △84㎡ 182세대, △99㎡ 10세대, △114㎡ 8세대가 일반분양 대상이다. 920가구 중 특공이 452가구, 일반공급이 468가구다. 비규제지역인 동대문구의 경우 일반공급 물량 중 전용 85㎡이하는 60%, 85㎡초과는 100% 추첨제로 당첨자를 뽑는다. 청약 가점이 낮아도 추첨을 통해 당첨이 될 수 있는 것이다. 추첨제 물량 중 75%는 무주택자에 우선 배정되고, 나머지 25%는 무주택자 비당첨자와 1주택자가 추첨을 통해 당첨자를 가린다. 계산해 보면 래미안 라그란데의 1주택자 추첨 물량은 전용 52㎡ 3가구, 전용55㎡ 13가구, 전용59㎡A 19가구, 전용59㎡B 8가구, 74㎡A 2가구, 74㎡C 5가구, 84㎡A 10가구, 84㎡B 2가구, 99㎡ 2가구, 114㎡ 2가구 등 총 66가구(일부 물량 변동 있을 수 있음)다. 물량이 많은 편이어서 1주택자도 대거 청약에 지원할 것으로 보인다. 일반 분양가는 3. 3㎡당 평균 3285만원이다. 올 3월 동대문구 ‘휘경자이 디센시아’가 평당 2980만원에 분양한 것과 비교하면 약 300만원 더 비싸다. 조합은 대신 파격적인 조건을 내세워 흥행몰이에 나설 계획이다. 초기 계약금을 3000만원으로 책정하고 나머지 계약금은 계약일로부터 20일 이내 납부하도록 초기 부담금을 낮췄다. 800만원대 안팎의 유상옵션인 시스템 에어컨도 무상으로 제공한다. 삼성물산은 이달 11일부터 15일까지 5일간 서울 송파구 문정동 래미안갤러리 3층에 래미안 라그란데 견본주택을 개관할 예정이다. 견본주택에 방문하면 래미안 라그란데 분양정보 뿐 아니라 래미안갤러리 여름 시즌 전시회인 스마일 컬러팝과 네컷사진 촬영, 캘리그래피 등 다양한 이벤트도 함께 즐길 수 있다. 일반분양 일정은 이달 14일 특별공급, 16일 1순위 청약이며 한국부동산원 청약홈 사이트를 통해 접수한다. 청약 결과발표는 이달 23일, 당첨자 계약은 9월 3~6일 예정이다. 서울·경기·인천에 거주하는 만 19세 이상 성인은 유주택자도 청약이 가능하며 세대주는 물론 세대원도 일반공급 물량에 청약할 수 있다. 분양권 전매제한은 1년(당첨자 발표일 기준)이며 입주예정월은 2025년 1월이다. 삼성물산 관계자는 ""래미안 라그란데는 대규모 정비사업을 통해 신흥 주거타운으로 변모하고 있는 이문·휘경재정비촉진지구에 들어서는 래미안 대단지로 고객들의 관심이 높은 상황""이며, ""입주 후에도 자부심을 가지고 거주할 수 있는 아파트로 만들도록 최선을 다 할 것""이라고 밝혔다. .",주택청약,https://n.news.naver.com/mnews/article/215/0001117550?sid=101
